Timestamp(ms),Elapsed(s),Phase,FPS,RTT(ms),MTP(ms),Jitter(ms),Loss(%),LoadRatio,CPU_Load(ms),Reward_Inst,Reward_Cum
14097,0.020,,0.00,0.0,1002.0,0.0,0.00,0.000,0.0,-39.0800,-39.0800
15266,0.040,P1: 正常環境 (天堂),17.54,2.5,62.2,0.7,0.00,0.000,2.0,-1.4889,-42.0577
15322,0.096,P1: 正常環境 (天堂),31.90,2.9,37.0,0.8,0.00,0.000,2.0,-0.4815,-44.4650
15380,0.155,P1: 正常環境 (天堂),71.89,3.7,20.3,0.6,0.00,0.000,2.0,0.1888,-43.6284
15442,0.216,P1: 正常環境 (天堂),82.82,3.9,18.5,0.6,0.00,0.000,2.0,0.2581,-42.1886
15504,0.278,P1: 正常環境 (天堂),89.40,4.0,18.1,0.9,0.00,0.000,2.0,0.2775,-40.5463
15567,0.341,P1: 正常環境 (天堂),92.77,4.0,18.0,1.2,0.00,0.000,2.0,0.2813,-38.5874
15639,0.413,P1: 正常環境 (天堂),94.83,4.0,17.4,0.9,0.00,0.000,2.0,0.3038,-36.5217
15709,0.483,P1: 正常環境 (天堂),95.80,4.0,17.0,0.6,0.00,0.000,2.0,0.3204,-34.3056
15779,0.553,P1: 正常環境 (天堂),96.29,4.0,17.1,0.7,0.00,0.000,2.0,0.3148,-32.0798
15845,0.620,P1: 正常環境 (天堂),96.53,4.0,17.2,0.8,0.00,0.000,2.0,0.3136,-30.2053
15915,0.689,P1: 正常環境 (天堂),96.65,4.0,16.8,0.5,0.00,0.000,2.0,0.3268,-27.9527
15983,0.757,P1: 正常環境 (天堂),96.71,4.0,16.8,0.5,0.00,0.000,2.0,0.3270,-25.6530
16053,0.827,P1: 正常環境 (天堂),96.74,4.0,17.0,0.7,0.00,0.000,2.0,0.3189,-23.4063
16120,0.894,P1: 正常環境 (天堂),96.76,4.0,16.9,0.6,0.00,0.000,2.0,0.3222,-21.1666
16187,0.961,P1: 正常環境 (天堂),96.77,4.0,16.8,0.4,0.00,0.000,2.0,0.3298,-18.8692
16254,1.028,P1: 正常環境 (天堂),96.77,4.0,17.0,0.6,0.00,0.000,2.0,0.3218,-16.9165
16323,1.098,P1: 正常環境 (天堂),96.77,4.0,17.4,1.0,0.00,0.000,2.0,0.3058,-14.7298
16388,1.162,P1: 正常環境 (天堂),96.77,4.0,17.5,1.2,0.00,0.000,2.0,0.2985,-12.6347
16460,1.234,P1: 正常環境 (天堂),96.77,4.0,17.1,0.7,0.00,0.000,2.0,0.3169,-10.4582
16526,1.301,P1: 正常環境 (天堂),96.77,4.0,16.7,0.3,0.00,0.000,2.0,0.3332,-8.1605
16595,1.370,P1: 正常環境 (天堂),96.77,4.0,16.6,0.3,0.00,0.000,2.0,0.3366,-6.1342
16662,1.436,P1: 正常環境 (天堂),96.77,4.0,17.0,0.7,0.00,0.000,2.0,0.3199,-3.8508
16730,1.504,P1: 正常環境 (天堂),96.77,4.0,17.4,1.1,0.00,0.000,2.0,0.3034,-1.6835
16795,1.569,P1: 正常環境 (天堂),96.77,4.0,17.5,1.1,0.00,0.000,2.0,0.3012,0.1150
16860,1.634,P1: 正常環境 (天堂),96.77,4.0,17.1,0.7,0.00,0.000,2.0,0.3171,2.2919
16927,1.701,P1: 正常環境 (天堂),96.77,4.0,16.8,0.4,0.00,0.000,2.0,0.3287,4.5729
16993,1.768,P1: 正常環境 (天堂),96.77,4.0,16.9,0.5,0.00,0.000,2.0,0.3256,6.5406
17059,1.833,P1: 正常環境 (天堂),96.77,4.0,17.0,0.7,0.00,0.000,2.0,0.3188,8.7818
17126,1.901,P1: 正常環境 (天堂),96.77,4.0,17.1,0.8,0.00,0.000,2.0,0.3142,10.9965
17192,1.966,P1: 正常環境 (天堂),96.77,4.0,17.3,1.0,0.00,0.000,2.0,0.3077,12.8507
17258,2.033,P1: 正常環境 (天堂),96.77,4.0,17.1,0.7,0.00,0.000,2.0,0.3170,15.0407
17324,2.098,P1: 正常環境 (天堂),96.77,4.0,16.7,0.4,0.00,0.000,2.0,0.3326,17.0024
17391,2.165,P1: 正常環境 (天堂),96.77,4.0,16.6,0.2,0.00,0.000,2.0,0.3370,19.3661
17458,2.232,P1: 正常環境 (天堂),96.77,4.0,17.0,0.6,0.00,0.000,2.0,0.3211,21.6465
17528,2.303,P1: 正常環境 (天堂),96.77,4.0,17.3,0.9,0.00,0.000,2.0,0.3087,23.8293
17598,2.372,P1: 正常環境 (天堂),96.77,4.0,17.2,0.9,0.00,0.000,2.0,0.3124,26.0005
17667,2.442,P1: 正常環境 (天堂),96.77,4.0,17.0,0.7,0.00,0.000,2.0,0.3188,28.2250
17743,2.517,P1: 正常環境 (天堂),96.77,4.0,17.0,0.7,0.00,0.000,2.0,0.3188,30.4563
17808,2.582,P1: 正常環境 (天堂),96.77,4.0,17.0,0.7,0.00,0.000,2.0,0.3188,32.6875
17864,2.638,P1: 正常環境 (天堂),96.77,4.0,17.0,0.7,0.00,0.000,2.0,0.3188,34.2813
17933,2.707,P1: 正常環境 (天堂),96.77,4.0,17.0,0.7,0.00,0.000,2.0,0.3188,36.5125
18003,2.777,P1: 正常環境 (天堂),96.77,4.0,17.0,0.7,0.00,0.000,2.0,0.3188,38.7437
18076,2.850,P1: 正常環境 (天堂),96.77,4.0,17.0,0.7,0.00,0.000,2.0,0.3188,40.9750
18147,2.921,P1: 正常環境 (天堂),96.77,4.0,16.8,0.5,0.00,0.000,2.0,0.3260,43.5569
18216,2.990,P1: 正常環境 (天堂),96.77,4.0,16.8,0.5,0.00,0.000,2.0,0.3281,45.8587
18285,3.060,P1: 正常環境 (天堂),96.77,4.0,17.1,0.8,0.00,0.000,2.0,0.3156,47.7790
18354,3.128,P1: 正常環境 (天堂),96.77,4.0,17.1,0.8,0.00,0.000,2.0,0.3162,49.9773
18421,3.195,P1: 正常環境 (天堂),96.77,4.0,16.9,0.5,0.00,0.000,2.0,0.3247,52.2339
18490,3.264,P1: 正常環境 (天堂),96.77,4.0,17.1,0.8,0.00,0.000,2.0,0.3143,54.4662
18559,3.333,P1: 正常環境 (天堂),96.77,4.0,17.5,1.2,0.00,0.000,2.0,0.2990,56.5844
18628,3.402,P1: 正常環境 (天堂),96.77,4.0,17.3,0.9,0.00,0.000,2.0,0.3090,58.7156
18698,3.472,P1: 正常環境 (天堂),96.77,4.0,16.9,0.5,0.00,0.000,2.0,0.3253,60.9615
18764,3.539,P1: 正常環境 (天堂),96.77,4.0,16.5,0.2,0.00,0.000,2.0,0.3389,62.9756
18834,3.608,P1: 正常環境 (天堂),96.77,4.0,16.8,0.5,0.00,0.000,2.0,0.3268,65.3086
18901,3.675,P1: 正常環境 (天堂),96.77,4.0,17.2,0.9,0.00,0.000,2.0,0.3111,67.5276
18968,3.742,P1: 正常環境 (天堂),96.77,4.0,17.5,1.2,0.00,0.000,2.0,0.2985,69.6341
19037,3.811,P1: 正常環境 (天堂),96.77,4.0,17.2,0.9,0.00,0.000,2.0,0.3114,71.7793
19105,3.879,P1: 正常環境 (天堂),96.77,4.0,16.9,0.5,0.00,0.000,2.0,0.3259,73.7077
