Timestamp(ms),Elapsed(s),Phase,FPS,RTT(ms),MTP(ms),Jitter(ms),Loss(%),LoadRatio,CPU_Load(ms),Reward_Inst,Reward_Cum
19617,0.000,,120.00,2.0,2.5,0.0,0.00,0.363,0.0,0.8529,0.8529
21259,0.020,P1: 天堂,111.97,2.1,4.8,0.7,0.00,0.397,4.9,0.7995,1.6524
21376,0.040,P1: 天堂,104.39,2.2,5.3,0.8,0.00,0.307,5.9,0.7730,5.4516
21430,0.197,P1: 天堂,82.78,2.9,5.8,0.6,0.00,0.472,6.3,0.5674,7.1743
21488,0.251,P1: 天堂,79.90,3.0,5.7,0.9,0.00,0.367,5.3,0.5864,8.9348
21542,0.306,P1: 天堂,78.87,3.1,5.9,1.2,0.00,0.350,5.1,0.5831,10.6972
21593,0.363,P1: 天堂,79.63,3.3,5.6,1.0,0.00,0.312,4.0,0.5977,11.8883
21654,0.422,P1: 天堂,77.78,3.3,5.9,0.7,0.00,0.406,5.8,0.5660,13.6039
21708,0.476,P1: 天堂,74.74,3.4,5.5,0.6,0.00,0.528,5.1,0.4909,15.0855
21762,0.529,P1: 天堂,73.84,3.4,5.7,0.7,0.00,0.477,5.1,0.5087,16.5863
21818,0.583,P1: 天堂,72.25,3.4,6.4,0.8,0.00,0.470,6.5,0.5051,17.6026
21872,0.639,P1: 天堂,71.12,3.4,6.2,0.6,0.00,0.547,6.4,0.4568,19.0395
21929,0.696,P1: 天堂,70.64,3.4,5.9,0.4,0.00,0.511,6.0,0.4731,20.4529
21986,0.753,P1: 天堂,71.30,3.5,5.3,0.6,0.00,0.404,4.3,0.5108,21.9270
22038,0.805,P1: 天堂,73.33,3.5,5.6,0.7,0.00,0.338,4.6,0.5414,22.9916
22090,0.858,P1: 天堂,76.13,3.5,5.4,0.7,0.00,0.322,3.7,0.5724,24.6782
22147,0.914,P1: 天堂,75.52,3.5,5.6,0.5,0.00,0.397,4.9,0.5447,26.3481
22200,0.967,P1: 天堂,75.74,3.6,5.6,0.5,0.00,0.400,5.0,0.5479,27.9900
22255,1.022,P1: 天堂,75.59,3.6,5.6,0.7,0.00,0.392,4.6,0.5470,29.0850
22310,1.079,P1: 天堂,75.01,3.6,5.9,1.1,0.00,0.350,4.6,0.5538,30.7295
22361,1.129,P1: 天堂,75.83,3.6,6.1,1.2,0.00,0.307,4.6,0.5741,32.4404
22425,1.191,P1: 天堂,76.40,3.6,6.1,0.9,0.00,0.351,5.3,0.5673,34.1494
22476,1.243,P1: 天堂,77.82,3.6,5.5,0.6,0.00,0.360,4.2,0.5711,35.2968
22527,1.296,P1: 天堂,78.01,3.6,5.2,0.2,0.00,0.422,4.2,0.5549,36.9763
22582,1.349,P1: 天堂,75.97,3.6,5.5,0.3,0.00,0.449,5.0,0.5326,38.5848
22636,1.403,P1: 天堂,75.22,3.6,5.6,0.6,0.00,0.447,4.8,0.5279,39.6476
22690,1.458,P1: 天堂,74.00,3.6,6.0,0.9,0.00,0.410,5.3,0.5313,41.2279
22747,1.515,P1: 天堂,74.26,3.6,6.2,1.2,0.00,0.315,4.7,0.5604,42.8723
22798,1.566,P1: 天堂,77.10,3.6,5.9,1.0,0.00,0.301,4.1,0.5800,44.0217
22852,1.619,P1: 天堂,77.35,3.6,5.8,0.7,0.00,0.383,4.9,0.5625,45.7286
22906,1.673,P1: 天堂,76.35,3.6,5.5,0.5,0.00,0.450,4.8,0.5345,47.3641
22960,1.726,P1: 天堂,76.03,3.6,5.8,0.5,0.00,0.431,5.5,0.5396,48.9813
23016,1.783,P1: 天堂,74.63,3.6,5.7,0.7,0.00,0.451,4.9,0.5221,50.0244
23081,1.839,P1: 天堂,74.48,3.6,5.6,0.7,0.00,0.375,4.6,0.5465,52.1250
23148,1.912,P1: 天堂,75.33,3.6,6.2,0.9,0.00,0.333,5.5,0.5611,53.8002
23214,1.977,P1: 天堂,76.17,3.6,6.0,0.9,0.00,0.335,5.0,0.5699,55.5049
23268,2.036,P1: 天堂,75.03,3.6,6.0,0.6,0.00,0.399,5.6,0.5413,57.1576
23324,2.090,P1: 天堂,75.06,3.6,5.6,0.3,0.00,0.434,5.2,0.5299,58.7619
23380,2.147,P1: 天堂,74.43,3.6,5.4,0.3,0.00,0.433,4.8,0.5268,60.3283
23433,2.200,P1: 天堂,74.84,3.6,5.6,0.6,0.00,0.425,4.7,0.5305,61.3905
23487,2.254,P1: 天堂,74.61,3.6,6.0,0.9,0.00,0.389,5.2,0.5431,63.0254
23541,2.307,P1: 天堂,74.51,3.6,6.1,1.0,0.00,0.355,5.4,0.5477,64.6518
23592,2.360,P1: 天堂,74.71,3.6,5.7,0.8,0.00,0.376,4.6,0.5452,65.7451
23645,2.413,P1: 天堂,75.54,3.6,5.6,0.7,0.00,0.352,4.2,0.5598,67.3920
23698,2.465,P1: 天堂,74.88,3.6,5.9,0.7,0.00,0.370,5.1,0.5503,68.5008
23748,2.515,P1: 天堂,76.23,3.6,5.7,0.7,0.00,0.344,4.7,0.5677,70.1961
23800,2.568,P1: 天堂,76.69,3.6,5.6,0.7,0.00,0.341,4.1,0.5711,71.9027
23863,2.630,P1: 天堂,77.24,3.6,5.9,0.7,0.00,0.353,5.2,0.5714,73.6300
23915,2.682,P1: 天堂,77.72,3.6,5.6,0.7,0.00,0.339,4.2,0.5774,74.7854
23967,2.735,P1: 天堂,76.64,3.6,6.0,0.7,0.00,0.362,5.4,0.5639,76.5032
24021,2.788,P1: 天堂,76.47,3.6,5.9,0.7,0.00,0.353,5.2,0.5665,78.2070
24075,2.842,P1: 天堂,76.44,3.6,5.8,0.7,0.00,0.350,4.8,0.5681,79.3443
