Timestamp(ms),Elapsed(s),Phase,FPS,RTT(ms),MTP(ms),Jitter(ms),Loss(%),LoadRatio,CPU_Load(ms),Reward_Inst,Reward_Cum
19553,0.000,,120.00,2.0,2.8,0.0,0.00,0.289,0.0,0.8788,0.8788
21228,0.020,P1: 天堂,112.13,2.1,4.8,0.7,0.00,0.411,4.7,0.7873,1.6661
21336,0.040,P1: 天堂,105.82,2.2,4.9,0.8,0.00,0.419,4.6,0.7524,5.4306
21431,0.149,P1: 天堂,87.99,2.7,4.9,0.6,0.00,0.379,4.3,0.6401,8.5152
21491,0.287,P1: 天堂,78.37,3.1,5.9,1.1,0.00,0.411,5.6,0.5602,10.1736
21544,0.343,P1: 天堂,77.56,3.2,5.8,1.2,0.00,0.407,5.1,0.5598,11.2885
21605,0.405,P1: 天堂,78.22,3.3,5.3,0.8,0.00,0.393,4.1,0.5617,12.9900
21657,0.457,P1: 天堂,77.39,3.3,5.4,0.6,0.00,0.447,4.8,0.5401,14.6524
21712,0.510,P1: 天堂,76.50,3.4,5.4,0.7,0.00,0.432,4.5,0.5428,16.2545
21771,0.569,P1: 天堂,75.84,3.4,5.6,0.8,0.00,0.451,4.8,0.5317,17.8536
21832,0.629,P1: 天堂,74.24,3.4,5.9,0.7,0.00,0.455,5.5,0.5167,19.4348
21892,0.690,P1: 天堂,73.18,3.5,5.5,0.4,0.00,0.440,5.0,0.5144,20.9287
21953,0.749,P1: 天堂,74.57,3.5,5.6,0.5,0.00,0.423,5.1,0.5306,22.5131
22009,0.807,P1: 天堂,75.73,3.5,5.4,0.7,0.00,0.405,4.1,0.5464,24.1338
22069,0.864,P1: 天堂,74.94,3.5,6.1,0.6,0.00,0.452,6.1,0.5232,25.7280
22127,0.925,P1: 天堂,74.48,3.5,5.8,0.4,0.00,0.384,5.6,0.5461,26.8144
22187,0.984,P1: 天堂,74.71,3.5,5.8,0.5,0.00,0.422,5.4,0.5358,28.4284
22248,1.044,P1: 天堂,73.56,3.5,6.3,0.8,0.00,0.428,6.1,0.5214,30.5178
22305,1.103,P1: 天堂,73.58,3.6,6.4,1.2,0.00,0.388,5.8,0.5333,31.5711
22363,1.161,P1: 天堂,74.02,3.6,5.7,1.1,0.00,0.457,4.7,0.5123,33.1086
22417,1.202,P1: 天堂,74.39,3.6,6.0,0.8,0.00,0.475,5.6,0.5127,34.6541
22470,1.264,P1: 天堂,72.00,3.5,6.1,0.4,0.00,0.459,6.2,0.4980,36.1357
22537,1.332,P1: 天堂,72.70,3.5,5.2,0.2,0.00,0.460,4.5,0.5039,37.6561
22595,1.393,P1: 天堂,73.06,3.5,6.4,0.5,0.00,0.507,6.6,0.4887,39.1683
22649,1.447,P1: 天堂,73.75,3.5,5.7,0.8,0.00,0.463,4.8,0.5109,40.7110
22710,1.509,P1: 天堂,72.86,3.5,5.7,1.2,0.00,0.487,4.5,0.4930,42.2269
22768,1.565,P1: 天堂,73.24,3.5,6.5,1.0,0.00,0.411,6.3,0.5231,43.7712
