Timestamp(ms),Elapsed(s),Phase,FPS,RTT(ms),MTP(ms),Jitter(ms),Loss(%),LoadRatio,CPU_Load(ms),Reward_Inst,Reward_Cum
15304,0.020,,120.00,2.0,2.7,0.0,0.00,0.321,0.0,0.8681,0.8681
16853,0.040,Chaos: local=36ms rtt=32ms,112.52,2.1,4.6,0.7,0.00,0.587,4.4,0.7084,1.5765
16981,0.168,Chaos: local=36ms rtt=32ms,103.76,2.2,5.8,0.8,0.00,0.336,7.2,0.7578,5.7762
17044,0.231,Chaos: local=36ms rtt=32ms,78.81,3.3,6.0,0.7,0.05,0.421,6.1,0.5587,7.4635
17104,0.291,Chaos: local=36ms rtt=32ms,76.33,3.7,6.1,1.0,0.07,0.411,5.3,0.5425,9.1511
17170,0.357,Chaos: local=36ms rtt=32ms,73.34,4.0,6.9,1.2,0.09,0.369,6.3,0.5370,10.7627
17231,0.418,Chaos: local=36ms rtt=32ms,74.26,4.6,6.6,0.8,0.12,0.305,4.7,0.5581,12.4274
17296,0.484,Chaos: local=36ms rtt=32ms,75.49,5.2,7.0,0.5,0.14,0.226,4.5,0.5853,14.7408
17358,0.545,Chaos: local=36ms rtt=32ms,75.76,5.8,7.7,0.7,0.17,0.227,4.6,0.5850,16.4983
17423,0.610,Chaos: local=36ms rtt=32ms,75.40,6.5,8.4,0.8,0.19,0.208,5.0,0.5865,18.2594
17483,0.670,Chaos: local=36ms rtt=32ms,75.72,7.1,8.5,0.6,0.21,0.224,4.5,0.5889,20.0211
17546,0.733,Chaos: local=36ms rtt=32ms,74.46,8.0,9.1,0.4,0.23,0.268,5.6,0.5749,21.7695
17599,0.786,Chaos: local=36ms rtt=32ms,72.06,8.6,10.3,0.6,0.25,0.202,6.4,0.5590,23.4668
17659,0.847,Chaos: local=36ms rtt=32ms,72.59,9.4,11.0,0.7,0.26,0.171,5.5,0.5593,25.1499
17725,0.912,Chaos: local=36ms rtt=32ms,74.13,10.3,11.5,0.5,0.28,0.168,5.1,0.5704,26.8563
17779,0.966,Chaos: local=36ms rtt=32ms,72.11,11.0,11.8,0.4,0.29,0.255,7.1,0.5632,28.5605
17841,1.028,Chaos: local=36ms rtt=32ms,70.81,11.9,12.6,0.7,0.30,0.225,5.9,0.5515,30.2135
17897,1.084,Chaos: local=36ms rtt=32ms,68.97,12.6,13.4,1.0,0.31,0.249,6.8,0.5417,31.8456
17971,1.158,Chaos: local=36ms rtt=32ms,64.74,13.3,14.1,1.2,0.32,0.334,9.1,0.5006,33.3931
18032,1.219,Chaos: local=36ms rtt=32ms,62.56,14.4,14.8,0.8,0.34,0.233,6.9,0.4885,34.8572
18087,1.274,Chaos: local=36ms rtt=32ms,62.62,15.1,15.1,0.5,0.34,0.248,7.7,0.4963,36.3428
18155,1.342,Chaos: local=36ms rtt=32ms,62.62,15.9,15.9,0.2,0.35,0.212,7.7,0.4899,38.3105
18209,1.396,Chaos: local=36ms rtt=32ms,63.55,16.6,17.3,0.4,0.36,0.143,7.0,0.4765,39.2748
18273,1.460,Chaos: local=36ms rtt=32ms,65.77,17.3,16.9,0.8,0.36,0.226,6.4,0.5098,41.2956
18333,1.520,Chaos: local=36ms rtt=32ms,61.93,18.1,17.6,1.2,0.37,0.404,12.3,0.4698,42.7004
18403,1.591,Chaos: local=36ms rtt=32ms,55.42,18.9,18.2,1.0,0.37,0.359,11.6,0.4375,44.0255
18460,1.647,Chaos: local=36ms rtt=32ms,54.74,19.5,19.9,0.7,0.38,0.186,10.0,0.4129,45.3161
18521,1.709,Chaos: local=36ms rtt=32ms,55.91,20.2,20.5,0.4,0.38,0.173,10.2,0.4185,46.6296
18585,1.772,Chaos: local=36ms rtt=32ms,61.92,20.8,20.7,0.5,0.38,0.145,5.4,0.4611,47.9669
18639,1.826,Chaos: local=36ms rtt=32ms,64.57,21.5,20.9,0.7,0.39,0.180,6.2,0.4856,49.4001
18696,1.883,Chaos: local=36ms rtt=32ms,64.68,22.0,21.6,0.8,0.39,0.190,8.1,0.4898,50.8528
18747,1.935,Chaos: local=36ms rtt=32ms,63.18,22.4,20.9,0.9,0.39,0.267,8.9,0.4954,51.8444
18814,2.002,Chaos: local=36ms rtt=32ms,56.97,23.1,21.4,0.9,0.39,0.324,12.0,0.4587,53.7141
18880,2.067,Chaos: local=36ms rtt=32ms,55.76,23.6,21.4,0.5,0.39,0.264,8.2,0.4359,55.0046
18932,2.120,Chaos: local=36ms rtt=32ms,58.43,24.1,23.2,0.2,0.40,0.157,6.8,0.4046,55.8462
18988,2.175,Chaos: local=36ms rtt=32ms,63.29,24.6,24.8,0.3,0.40,0.094,5.0,0.4301,57.1362
19068,2.255,Chaos: local=36ms rtt=32ms,68.24,25.1,25.0,0.7,0.40,0.148,8.7,0.4938,58.8343
19136,2.323,Chaos: local=36ms rtt=32ms,60.22,25.6,22.9,1.0,0.40,0.373,13.5,0.4757,60.7999
19192,2.380,Chaos: local=36ms rtt=32ms,53.40,25.9,23.0,0.8,0.40,0.433,15.4,0.4163,61.6707
19263,2.450,Chaos: local=36ms rtt=32ms,47.06,26.3,23.1,0.7,0.40,0.441,15.7,0.3706,63.2173
19318,2.505,Chaos: local=36ms rtt=32ms,45.31,26.6,26.0,0.7,0.40,0.219,13.9,0.3495,64.2951
19390,2.577,Chaos: local=36ms rtt=32ms,51.40,27.1,26.5,0.7,0.40,0.156,8.6,0.3757,65.4127
19446,2.633,Chaos: local=36ms rtt=32ms,59.06,27.5,23.6,0.7,0.40,0.258,4.8,0.4424,66.5945
19505,2.692,Chaos: local=36ms rtt=32ms,61.67,27.8,27.3,0.7,0.40,0.125,5.1,0.4359,67.8088
19568,2.756,Chaos: local=36ms rtt=32ms,64.57,28.1,27.3,0.7,0.40,0.160,8.6,0.4665,68.9725
19629,2.816,Chaos: local=36ms rtt=32ms,66.19,28.4,25.9,0.7,0.40,0.281,12.7,0.5121,70.1452
19709,2.896,Chaos: local=36ms rtt=32ms,58.59,28.7,28.6,0.6,0.40,0.124,9.5,0.4077,71.9489
19764,2.951,Chaos: local=36ms rtt=32ms,63.10,29.0,28.4,0.4,0.40,0.121,6.4,0.4449,73.2679
19828,3.015,Chaos: local=36ms rtt=32ms,69.52,29.2,30.5,0.6,0.40,0.049,3.8,0.2906,74.3384
