Timestamp(ms),Elapsed(s),Phase,FPS,RTT(ms),MTP(ms),Jitter(ms),Loss(%),LoadRatio,CPU_Load(ms),Reward_Inst,Reward_Cum
15452,0.000,,120.00,2.0,2.7,0.0,0.00,0.321,0.0,0.8681,0.8681
16874,0.020,P1: 天堂,112.89,2.1,4.4,0.7,0.00,0.584,4.0,0.7125,1.5806
17000,0.040,P1: 天堂,103.82,2.2,5.9,0.8,0.00,0.334,7.6,0.7592,5.8011
17057,0.205,P1: 天堂,82.67,2.9,5.2,0.6,0.00,0.371,4.6,0.6046,7.5753
17120,0.270,P1: 天堂,80.85,3.1,5.5,1.0,0.00,0.415,4.7,0.5788,9.3339
17177,0.318,P1: 天堂,79.58,3.2,5.5,1.2,0.00,0.379,4.1,0.5771,11.0494
17236,0.388,P1: 天堂,79.93,3.3,5.5,0.9,0.00,0.289,4.0,0.6071,12.8532
17295,0.445,P1: 天堂,80.53,3.4,5.5,0.6,0.00,0.216,4.0,0.6172,14.6905
17356,0.505,P1: 天堂,80.76,3.5,5.8,0.6,0.00,0.190,4.5,0.6192,16.5458
17417,0.567,P1: 天堂,81.81,3.5,5.6,0.8,0.00,0.253,3.4,0.6204,18.4019
17495,0.631,P1: 天堂,81.82,3.6,5.8,0.6,0.00,0.208,4.0,0.6314,20.9153
17560,0.709,P1: 天堂,81.76,3.6,5.7,0.4,0.00,0.281,4.8,0.6199,22.7851
17624,0.773,P1: 天堂,80.52,3.7,5.9,0.6,0.00,0.224,4.5,0.6178,24.6296
17682,0.831,P1: 天堂,81.45,3.7,5.8,0.7,0.00,0.221,3.8,0.6264,26.4994
17736,0.888,P1: 天堂,82.00,3.7,5.6,0.6,0.00,0.236,3.4,0.6259,28.3812
17809,0.946,P1: 天堂,81.56,3.7,5.4,0.4,0.00,0.317,3.9,0.6090,30.2327
17872,1.021,P1: 天堂,82.40,3.7,5.7,0.7,0.00,0.234,3.3,0.6262,32.0924
17923,1.072,P1: 天堂,81.37,3.7,6.1,1.0,0.00,0.304,4.7,0.6138,33.9417
17985,1.136,P1: 天堂,82.17,3.7,6.0,1.2,0.00,0.281,3.7,0.6238,35.8024
18045,1.197,P1: 天堂,81.24,3.7,6.0,0.8,0.00,0.274,4.4,0.6171,37.6516
18106,1.257,P1: 天堂,82.08,3.7,5.4,0.5,0.00,0.297,3.4,0.6150,39.5052
18161,1.313,P1: 天堂,81.46,3.7,5.3,0.2,0.00,0.314,3.9,0.6107,41.3368
18219,1.371,P1: 天堂,81.64,3.7,5.6,0.4,0.00,0.198,3.5,0.6274,43.1953
18289,1.429,P1: 天堂,81.67,3.7,5.9,0.7,0.00,0.286,4.4,0.6155,45.0600
18351,1.501,P1: 天堂,79.03,3.7,6.3,1.2,0.00,0.329,5.1,0.5959,46.8462
18411,1.562,P1: 天堂,78.06,3.7,5.9,1.1,0.00,0.360,4.4,0.5729,48.5750
18468,1.619,P1: 天堂,78.37,3.7,5.9,0.7,0.00,0.223,4.0,0.6011,50.3465
18523,1.676,P1: 天堂,80.70,3.7,5.4,0.5,0.00,0.285,3.5,0.6098,52.1688
18587,1.739,P1: 天堂,80.51,3.7,5.4,0.5,0.00,0.303,3.6,0.6047,53.9974
18645,1.796,P1: 天堂,80.45,3.7,5.6,0.7,0.00,0.275,3.5,0.6081,55.8308
18704,1.856,P1: 天堂,80.90,3.7,5.8,0.7,0.00,0.228,3.8,0.6211,57.6850
18776,1.916,P1: 天堂,82.72,3.7,5.8,0.9,0.00,0.283,3.6,0.6269,60.1802
18841,1.989,P1: 天堂,81.21,3.7,6.0,0.9,0.00,0.256,4.5,0.6185,62.0388
18900,2.050,P1: 天堂,81.64,3.7,5.8,0.5,0.00,0.219,4.2,0.6293,63.9270
18958,2.108,P1: 天堂,81.30,3.7,5.4,0.2,0.00,0.308,4.3,0.6095,65.7831
19020,2.169,P1: 天堂,82.07,3.7,5.7,0.4,0.00,0.202,4.1,0.6319,67.6599
19080,2.230,P1: 天堂,82.09,3.7,6.1,0.7,0.00,0.284,5.0,0.6205,69.5285
19140,2.290,P1: 天堂,81.14,3.7,6.2,1.0,0.00,0.330,5.2,0.6057,71.3642
19206,2.356,P1: 天堂,79.69,3.7,5.9,0.8,0.00,0.259,4.1,0.6052,73.1710
19263,2.401,P1: 天堂,81.17,3.7,5.7,0.7,0.00,0.228,3.4,0.6249,75.0272
19319,2.470,P1: 天堂,82.82,3.7,5.6,0.7,0.00,0.246,3.2,0.6320,76.9193
19377,2.528,P1: 天堂,81.79,3.7,6.0,0.7,0.00,0.212,4.2,0.6307,78.8137
19430,2.581,P1: 天堂,83.03,3.8,5.9,0.7,0.00,0.193,3.8,0.6345,80.0772
19486,2.638,P1: 天堂,84.08,3.8,5.7,0.7,0.00,0.232,3.1,0.6419,81.9979
19542,2.694,P1: 天堂,83.90,3.8,5.9,0.7,0.00,0.195,3.4,0.6452,83.9243
19598,2.749,P1: 天堂,83.92,3.8,5.8,0.7,0.00,0.216,3.2,0.6429,85.8551
19658,2.809,P1: 天堂,84.47,3.8,5.9,0.7,0.00,0.195,3.4,0.6509,87.8035
19728,2.867,P1: 天堂,84.89,3.8,5.7,0.6,0.00,0.215,3.3,0.6526,89.7566
19786,2.938,P1: 天堂,84.48,3.8,5.6,0.4,0.00,0.259,3.7,0.6432,91.6951
19848,2.999,P1: 天堂,81.50,3.8,6.0,0.6,0.00,0.239,5.0,0.6187,93.5651
19903,3.054,P1: 天堂,81.79,3.8,5.9,0.8,0.00,0.236,3.8,0.6273,95.4499
19960,3.112,P1: 天堂,82.24,3.8,5.9,0.7,0.00,0.205,3.5,0.6326,97.3403
20017,3.169,P1: 天堂,82.85,3.8,5.6,0.6,0.00,0.238,3.5,0.6330,99.2473
20071,3.222,P1: 天堂,82.81,3.8,5.9,0.7,0.00,0.190,3.5,0.6332,100.5172
20125,3.278,P1: 天堂,83.81,3.8,6.0,1.1,0.00,0.220,3.0,0.6438,102.4389
20198,3.338,P1: 天堂,83.03,3.8,6.3,1.2,0.00,0.217,4.1,0.6396,105.0025
20256,3.407,P1: 天堂,82.52,3.8,6.0,0.8,0.00,0.187,3.6,0.6351,106.9101
20313,3.464,P1: 天堂,82.55,3.8,5.7,0.4,0.00,0.226,3.8,0.6303,108.1634
20367,3.517,P1: 天堂,82.42,3.8,5.4,0.2,0.00,0.323,4.3,0.6159,110.0215
20423,3.577,P1: 天堂,81.82,3.8,5.6,0.4,0.00,0.232,3.6,0.6262,111.8874
20481,3.632,P1: 天堂,82.46,3.8,5.9,0.8,0.00,0.259,4.3,0.6260,113.7620
20534,3.685,P1: 天堂,82.18,3.7,6.0,1.1,0.00,0.317,4.2,0.6163,115.0004
20594,3.744,P1: 天堂,79.10,3.7,6.4,1.2,0.00,0.360,5.4,0.5898,116.7779
20669,3.805,P1: 天堂,78.73,3.7,6.2,0.8,0.00,0.229,5.1,0.6003,119.1521
20729,3.880,P1: 天堂,79.68,3.7,5.7,0.4,0.00,0.254,4.3,0.6105,120.9706
20787,3.939,P1: 天堂,80.00,3.7,5.6,0.5,0.00,0.277,3.8,0.6085,122.7970
