Time,FPS,RTT,LoadRatio,Jitter,LossRate
0.02,59.00,27.71,0.50,2.08,0.0005
0.04,58.10,34.88,0.50,4.45,0.0007
0.25,52.77,40.98,0.50,0.83,0.0002
0.28,50.73,53.93,0.00,0.49,0.0009
0.29,59.58,65.54,0.00,0.06,0.0002
0.29,66.58,76.44,0.00,4.52,0.0002
0.30,75.22,85.89,0.00,0.98,0.0000
0.31,82.36,94.67,0.00,3.64,0.0001
0.31,89.56,102.54,0.00,3.42,0.0000
0.32,90.40,109.55,0.00,2.65,0.0003
0.34,87.59,115.67,0.00,0.71,0.0010
0.35,89.48,121.21,0.00,1.04,0.0006
0.37,86.75,126.45,0.00,3.63,0.0004
0.38,86.11,131.27,0.00,4.69,0.0010
0.39,87.63,135.45,0.00,3.04,0.0008
0.40,87.39,139.03,0.00,1.23,0.0008
0.41,85.92,142.29,0.00,1.60,0.0002
0.42,86.23,145.53,0.00,4.75,0.0009
0.44,86.28,148.31,0.00,3.33,0.0004
0.45,85.39,150.73,0.00,2.47,0.0009
0.48,79.92,153.08,0.00,4.27,0.0006
0.50,78.07,154.93,0.00,1.57,0.0011
0.51,77.50,156.51,0.00,0.74,0.0010
0.52,85.29,157.91,0.00,0.45,0.0011
0.53,90.57,159.58,0.00,4.66,0.0011
0.53,95.98,160.90,0.00,2.77,0.0007
0.54,99.59,161.90,0.00,0.92,0.0012
0.55,103.73,163.13,0.00,4.19,0.0013
0.56,104.19,164.09,0.00,2.70,0.0011
0.56,104.93,165.01,0.00,3.30,0.0010
0.57,105.23,165.73,0.00,2.22,0.0010
0.58,108.78,166.53,0.00,3.72,0.0012
0.59,110.00,166.95,0.00,0.69,0.0009
0.60,113.77,167.67,0.00,4.17,0.0018
0.60,115.30,168.36,0.00,4.61,0.0012
0.61,117.62,168.71,0.00,1.83,0.0013
0.62,119.39,169.28,0.00,4.41,0.0018
0.63,121.87,169.68,0.00,3.33,0.0011
0.64,119.74,170.17,0.00,4.49,0.0012
0.64,119.05,170.25,0.00,1.05,0.0015
0.65,121.08,170.58,0.00,3.54,0.0011
0.67,116.03,170.69,0.00,1.67,0.0019
0.67,117.75,170.92,0.00,3.01,0.0019
0.68,119.09,171.03,0.00,1.95,0.0019
0.69,121.28,171.12,0.00,1.93,0.0018
0.70,121.09,171.28,0.00,2.78,0.0017
0.70,122.90,171.47,0.00,3.14,0.0014
0.71,123.31,171.48,0.00,1.58,0.0011
0.72,125.61,171.74,0.00,4.13,0.0013
0.73,125.46,171.95,0.00,3.77,0.0021
0.73,126.48,171.90,0.00,1.52,0.0018
0.74,126.01,171.75,0.00,0.32,0.0018
0.75,127.85,172.00,0.00,4.26,0.0014
