Timestamp(ms),Elapsed(s),Phase,FPS,RTT(ms),MTP(ms),Jitter(ms),Loss(%),LoadRatio,CPU_Load(ms),Reward_Inst,Reward_Cum
4311,0.020,,120.00,0.0,10.3,0.0,0.00,1.000,0.0,0.0000,0.0000
5295,0.040,P1: 起始平穩,109.50,2.2,14.2,0.9,0.00,0.994,10.0,0.0000,0.0000
5361,0.106,P1: 起始平穩,100.58,2.3,15.1,0.9,0.00,0.987,9.9,0.0000,0.0000
5389,0.134,P1: 起始平穩,87.76,2.6,16.8,0.8,0.00,0.966,10.9,0.0000,0.0000
5414,0.159,P1: 起始平穩,79.90,2.7,17.9,0.7,0.00,0.957,9.7,0.0000,0.0000
5439,0.184,P1: 起始平穩,74.07,2.8,18.9,0.7,0.00,0.950,9.6,0.0000,0.0000
5463,0.207,P1: 起始平穩,68.93,2.8,19.9,0.6,0.00,0.950,9.5,0.0000,0.0000
5499,0.244,P1: 起始平穩,64.93,2.9,20.8,0.6,0.00,0.938,9.5,0.0000,0.0000
5526,0.270,P1: 起始平穩,59.33,2.9,22.3,0.6,0.00,0.920,11.4,0.0000,0.0000
5554,0.299,P1: 起始平穩,56.02,3.0,23.3,0.5,0.00,0.907,13.2,0.0000,0.0000
5580,0.325,P1: 起始平穩,52.89,3.0,24.5,0.5,0.00,0.892,13.1,0.0000,0.0000
5602,0.347,P1: 起始平穩,50.73,3.1,25.4,0.6,0.00,0.879,10.9,0.0000,0.0000
5625,0.370,P1: 起始平穩,49.89,3.2,26.0,0.7,0.00,0.868,11.8,0.0000,0.0000
5646,0.391,P1: 起始平穩,49.07,3.4,26.7,0.9,0.00,0.857,9.7,0.0000,0.0000
5667,0.412,P1: 起始平穩,48.86,3.5,27.1,1.1,0.00,0.847,10.6,0.0000,0.0000
5690,0.435,P1: 起始平穩,48.58,3.7,27.5,1.2,0.00,0.836,12.5,0.0000,0.0000
5714,0.459,P1: 起始平穩,47.77,3.9,28.2,1.4,0.00,0.824,12.4,0.0000,0.0000
5740,0.485,P1: 起始平穩,46.94,4.1,29.0,1.5,0.00,0.812,12.2,0.0000,0.0000
5761,0.505,P1: 起始平穩,45.67,4.4,29.8,1.6,0.00,0.799,9.1,0.0000,0.0000
5779,0.524,P1: 起始平穩,46.06,4.5,29.8,1.6,0.00,0.789,8.0,0.0000,0.0000
5802,0.547,P1: 起始平穩,47.10,4.6,29.3,1.4,0.00,0.780,11.9,0.0000,0.0000
5822,0.567,P1: 起始平穩,46.59,4.7,29.3,1.2,0.00,0.768,8.8,0.0000,0.0000
5843,0.588,P1: 起始平穩,47.08,4.7,28.9,1.0,0.00,0.758,9.7,0.0000,0.0000
5864,0.609,P1: 起始平穩,47.19,4.7,28.7,0.8,0.00,0.748,8.6,0.0000,0.0000
5883,0.628,P1: 起始平穩,47.42,4.7,28.4,0.7,0.00,0.738,7.5,0.0000,0.0000
5901,0.646,P1: 起始平穩,48.22,4.7,28.0,0.6,0.00,0.728,7.4,0.0000,0.0000
5922,0.667,P1: 起始平穩,49.00,4.7,27.6,0.5,0.00,0.719,8.3,0.0000,0.0000
5941,0.686,P1: 起始平穩,48.97,4.7,27.6,0.5,0.00,0.708,7.2,0.0000,0.0000
5965,0.710,P1: 起始平穩,49.32,4.7,27.5,0.5,0.00,0.699,11.1,0.0000,0.0000
5986,0.731,P1: 起始平穩,48.25,4.8,28.0,0.5,0.00,0.687,10.0,0.0000,0.0000
6006,0.751,P1: 起始平穩,48.15,4.9,28.3,0.7,0.00,0.676,7.9,0.0000,0.0000
6027,0.772,P1: 起始平穩,48.60,5.0,28.4,0.9,0.00,0.667,9.8,0.0000,0.0000
6048,0.792,P1: 起始平穩,48.34,5.1,28.8,1.0,0.00,0.656,8.7,0.0000,0.0000
6069,0.813,P1: 起始平穩,48.42,5.3,29.1,1.2,0.00,0.646,9.6,0.0000,0.0000
6087,0.832,P1: 起始平穩,48.27,5.4,29.4,1.3,0.00,0.635,6.5,0.0000,0.0000
6108,0.853,P1: 起始平穩,49.17,5.6,29.2,1.3,0.00,0.626,9.4,0.0000,0.0000
6126,0.871,P1: 起始平穩,48.93,5.7,29.5,1.4,0.00,0.615,6.3,0.0000,0.0000
6147,0.892,P1: 起始平穩,49.89,5.8,29.3,1.4,0.00,0.606,9.2,0.0000,0.0000
6166,0.910,P1: 起始平穩,49.44,6.0,29.6,1.4,0.00,0.596,6.1,0.0000,0.0000
6184,0.929,P1: 起始平穩,50.27,6.1,29.4,1.4,0.00,0.587,7.0,0.0000,0.0000
6205,0.949,P1: 起始平穩,51.03,6.2,29.2,1.4,0.00,0.578,8.9,0.0000,0.0000
6222,0.967,P1: 起始平穩,50.59,6.3,29.5,1.5,0.00,0.567,5.8,0.0000,0.0000
6240,0.984,P1: 起始平穩,51.56,6.4,29.3,1.5,0.00,0.558,5.7,0.0000,0.0000
6258,1.003,P1: 起始平穩,52.35,6.5,29.1,1.5,0.00,0.550,6.6,0.0000,0.0000
