Timestamp(ms),Elapsed(s),Phase,FPS,RTT(ms),MTP(ms),Jitter(ms),Loss(%),LoadRatio,CPU_Load(ms),Reward_Inst,Reward_Cum
11134,0.020,,120.00,2.0,3.2,0.0,0.00,0.200,0.0,0.0000,0.0000
12592,0.040,[SPIKE] 觸發！,113.91,6.8,8.3,0.7,0.00,0.200,3.2,0.0000,0.0000
12711,0.159,[SPIKE] 突發網路波動,108.13,11.3,12.1,0.8,0.02,0.200,3.9,0.0000,0.0000
12770,0.218,[SPIKE] 突發網路波動,86.93,38.1,33.3,0.6,0.31,0.200,3.4,0.0000,0.0000
12831,0.279,[SPIKE] 突發網路波動,85.39,43.9,38.2,0.9,0.46,0.200,3.7,0.0000,0.0000
12919,0.366,[SPIKE] 突發網路波動,84.53,50.2,42.1,1.2,0.65,0.227,3.8,0.0000,0.0000
12973,0.421,[SPIKE] 突發網路波動,82.30,56.1,46.4,0.8,0.89,0.227,3.8,0.0000,0.0000
13026,0.474,[SPIKE] 突發網路波動,81.57,59.5,48.9,0.6,1.04,0.227,4.3,0.0000,0.0000
13080,0.528,[SPIKE] 突發網路波動,81.82,62.7,51.4,0.7,1.19,0.227,4.1,0.0000,0.0000
13140,0.588,[SPIKE] 突發網路波動,81.85,65.7,53.9,0.8,1.34,0.227,4.3,0.0000,0.0000
13198,0.646,[SPIKE] 突發網路波動,81.37,68.7,54.8,0.7,1.50,0.248,4.5,0.0000,0.0000
13253,0.701,[SPIKE] 突發網路波動,81.94,71.5,56.5,0.4,1.64,0.248,3.8,0.0000,0.0000
13308,0.756,[SPIKE] 突發網路波動,81.51,74.0,58.5,0.5,1.76,0.248,4.0,0.0000,0.0000
13375,0.823,[SPIKE] 突發網路波動,81.50,76.4,60.5,0.7,1.88,0.248,4.2,0.0000,0.0000
13430,0.878,[SPIKE] 突發網路波動,80.48,79.3,62.8,0.6,2.01,0.248,4.8,0.0000,0.0000
13487,0.935,[SPIKE] 突發網路波動,80.75,81.6,64.2,0.4,2.11,0.248,4.0,0.0000,0.0000
13543,0.991,[SPIKE] 突發網路波動,80.06,83.8,63.9,0.5,2.20,0.273,4.3,0.0000,0.0000
13600,1.048,[SPIKE] 突發網路波動,79.81,86.1,65.7,0.8,2.29,0.273,4.0,0.0000,0.0000
13658,1.106,[SPIKE] 突發網路波動,78.81,88.3,67.7,1.1,2.36,0.273,4.4,0.0000,0.0000
13712,1.160,[SPIKE] 突發網路波動,78.62,90.4,69.2,1.1,2.43,0.273,4.5,0.0000,0.0000
13772,1.220,[SPIKE] 突發網路波動,77.36,92.5,70.7,0.8,2.49,0.273,5.2,0.0000,0.0000
13843,1.291,[SPIKE] 突發網路波動,77.13,94.6,69.5,0.4,2.55,0.300,5.0,0.0000,0.0000
13904,1.352,[SPIKE] 突發網路波動,76.88,97.2,71.1,0.2,2.61,0.300,4.9,0.0000,0.0000
13968,1.416,[SPIKE] 突發網路波動,74.94,99.3,73.0,0.6,2.66,0.300,5.3,0.0000,0.0000
14024,1.472,[SPIKE] 突發網路波動,74.28,101.2,74.5,0.9,2.70,0.300,5.3,0.0000,0.0000
14086,1.534,[SPIKE] 突發網路波動,74.99,103.3,75.9,1.2,2.74,0.300,4.4,0.0000,0.0000
14163,1.610,[SPIKE] 突發網路波動,74.28,105.1,74.7,0.9,2.77,0.325,5.5,0.0000,0.0000
