Timestamp(ms),Elapsed(s),Phase,FPS,RTT(ms),MTP(ms),Jitter(ms),Loss(%),LoadRatio,CPU_Load(ms),Reward_Inst,Reward_Cum
10707,0.000,,120.00,2.0,3.2,0.0,0.00,0.200,0.0,0.0000,0.0000
12442,0.020,P1: 天堂,113.21,2.1,4.6,0.7,0.00,0.200,3.8,0.0000,0.0000
12543,0.040,P1: 天堂,107.70,2.3,4.8,0.8,0.00,0.200,3.7,0.0000,0.0000
12597,0.180,P1: 天堂,90.71,2.9,5.1,0.6,0.00,0.200,3.4,0.0000,0.0000
12648,0.227,P1: 天堂,88.52,3.1,5.3,0.7,0.00,0.200,3.1,0.0000,0.0000
12699,0.279,P1: 天堂,86.79,3.2,5.7,1.1,0.00,0.200,3.4,0.0000,0.0000
12749,0.336,P1: 天堂,85.70,3.3,5.9,1.2,0.00,0.200,3.7,0.0000,0.0000
12806,0.393,P1: 天堂,85.81,3.4,5.6,0.9,0.00,0.200,3.1,0.0000,0.0000
12865,0.451,P1: 天堂,85.39,3.5,5.6,0.6,0.00,0.200,3.9,0.0000,0.0000
12923,0.508,P1: 天堂,85.32,3.6,5.7,0.6,0.00,0.200,3.8,0.0000,0.0000
12979,0.565,P1: 天堂,84.90,3.6,5.8,0.8,0.00,0.200,3.4,0.0000,0.0000
13040,0.626,P1: 天堂,85.63,3.7,5.7,0.7,0.00,0.200,3.0,0.0000,0.0000
13099,0.684,P1: 天堂,85.54,3.7,5.7,0.4,0.00,0.200,3.8,0.0000,0.0000
13160,0.745,P1: 天堂,84.69,3.7,5.8,0.5,0.00,0.200,4.0,0.0000,0.0000
13219,0.804,P1: 天堂,84.94,3.7,5.8,0.7,0.00,0.200,3.2,0.0000,0.0000
13277,0.864,P1: 天堂,85.13,3.7,5.8,0.6,0.00,0.200,3.4,0.0000,0.0000
13337,0.923,P1: 天堂,84.68,3.8,5.6,0.4,0.00,0.200,3.1,0.0000,0.0000
13398,0.982,P1: 天堂,84.75,3.8,5.7,0.5,0.00,0.200,3.4,0.0000,0.0000
13458,1.044,P1: 天堂,85.15,3.8,5.9,0.8,0.00,0.200,3.3,0.0000,0.0000
13520,1.104,P1: 天堂,84.64,3.8,6.3,1.2,0.00,0.200,3.8,0.0000,0.0000
13582,1.166,P1: 天堂,84.25,3.8,6.2,1.0,0.00,0.200,3.8,0.0000,0.0000
13633,1.218,P1: 天堂,84.89,3.8,5.9,0.7,0.00,0.200,3.5,0.0000,0.0000
13693,1.279,P1: 天堂,84.61,3.8,5.6,0.3,0.00,0.200,3.7,0.0000,0.0000
13745,1.329,P1: 天堂,84.97,3.8,5.5,0.2,0.00,0.200,3.6,0.0000,0.0000
