Timestamp(ms),Elapsed(s),Phase,FPS,RTT(ms),MTP(ms),Jitter(ms),Loss(%),LoadRatio,CPU_Load(ms),Reward_Inst,Reward_Cum
4201,0.020,,120.00,2.0,12.3,0.0,0.00,1.000,0.0,0.0000,0.0000
5308,0.040,P1: 起始平穩,109.50,5.8,17.8,0.9,0.00,1.000,32.0,0.0000,0.0000
5399,0.131,P1: 起始平穩,100.58,8.8,21.8,1.1,0.00,1.000,34.0,0.0000,0.0000
5456,0.188,P1: 起始平穩,87.13,11.4,26.4,1.5,0.00,1.000,32.0,0.0000,0.0000
5505,0.237,P1: 起始平穩,76.72,13.3,29.5,1.2,0.00,1.000,32.0,0.0000,0.0000
5558,0.290,P1: 起始平穩,68.24,14.8,32.3,0.8,0.00,0.740,34.0,0.0000,0.0000
5598,0.330,P1: 起始平穩,60.83,16.2,35.1,0.5,0.00,0.740,23.2,0.0000,0.0000
5639,0.371,P1: 起始平穩,55.45,17.3,37.9,0.6,0.00,0.740,23.2,0.0000,0.0000
5680,0.412,P1: 起始平穩,50.80,18.3,40.9,0.9,0.00,0.740,24.2,0.0000,0.0000
5720,0.452,P1: 起始平穩,46.86,19.2,43.8,1.3,0.00,0.740,23.2,0.0000,0.0000
5763,0.495,P1: 起始平穩,43.55,19.9,46.3,1.4,0.00,0.584,24.2,0.0000,0.0000
5798,0.530,P1: 起始平穩,40.58,20.6,48.4,1.2,0.00,0.584,19.5,0.0000,0.0000
5833,0.565,P1: 起始平穩,38.69,21.0,49.6,0.8,0.00,0.584,17.5,0.0000,0.0000
5871,0.603,P1: 起始平穩,37.19,21.3,50.7,0.5,0.00,0.584,21.5,0.0000,0.0000
5909,0.641,P1: 起始平穩,35.55,21.6,52.2,0.5,0.00,0.584,21.5,0.0000,0.0000
5947,0.679,P1: 起始平穩,34.18,21.8,53.8,0.7,0.00,0.584,21.5,0.0000,0.0000
5985,0.717,P1: 起始平穩,32.97,22.1,55.4,1.0,0.00,0.410,21.5,0.0000,0.0000
6015,0.747,P1: 起始平穩,32.04,22.5,57.0,1.3,0.00,0.410,14.3,0.0000,0.0000
6043,0.775,P1: 起始平穩,32.21,22.9,57.2,1.3,0.00,0.410,12.3,0.0000,0.0000
6076,0.808,P1: 起始平穩,32.69,23.1,57.1,1.3,0.00,0.410,14.3,0.0000,0.0000
6107,0.839,P1: 起始平穩,32.36,23.4,57.6,1.3,0.00,0.410,14.3,0.0000,0.0000
6139,0.871,P1: 起始平穩,32.33,23.5,57.8,1.3,0.00,0.410,14.3,0.0000,0.0000
6168,0.900,P1: 起始平穩,32.23,23.6,57.8,1.1,0.00,0.410,13.3,0.0000,0.0000
6210,0.942,P1: 起始平穩,32.43,23.7,57.3,0.8,0.00,0.306,13.3,0.0000,0.0000
6251,0.983,P1: 起始平穩,31.17,23.7,58.3,0.5,0.00,0.306,13.2,0.0000,0.0000
6294,1.026,P1: 起始平穩,30.19,23.7,59.3,0.4,0.00,0.306,13.2,0.0000,0.0000
6338,1.070,P1: 起始平穩,29.09,23.8,60.8,0.6,0.00,0.306,13.2,0.0000,0.0000
6369,1.101,P1: 起始平穩,28.15,23.9,62.2,0.8,0.00,0.306,12.2,0.0000,0.0000
6408,1.140,P1: 起始平穩,28.86,24.0,61.4,0.8,0.00,0.244,11.2,0.0000,0.0000
6433,1.165,P1: 起始平穩,28.33,24.1,62.2,0.8,0.00,0.244,8.3,0.0000,0.0000
6461,1.193,P1: 起始平穩,30.13,24.2,60.2,0.8,0.00,0.244,11.3,0.0000,0.0000
6486,1.218,P1: 起始平穩,30.88,24.3,59.5,0.9,0.00,0.244,8.3,0.0000,0.0000
6514,1.246,P1: 起始平穩,32.30,24.4,58.3,1.0,0.00,0.244,11.3,0.0000,0.0000
6540,1.272,P1: 起始平穩,32.76,24.5,58.2,1.2,0.00,0.244,9.3,0.0000,0.0000
6566,1.298,P1: 起始平穩,33.62,24.6,57.8,1.4,0.00,0.244,9.3,0.0000,0.0000
6589,1.321,P1: 起始平穩,34.48,24.8,57.3,1.6,0.00,0.244,7.3,0.0000,0.0000
6615,1.347,P1: 起始平穩,35.68,24.9,56.6,1.6,0.00,0.206,9.3,0.0000,0.0000
6637,1.369,P1: 起始平穩,36.13,25.0,56.3,1.6,0.00,0.206,6.2,0.0000,0.0000
6659,1.391,P1: 起始平穩,37.61,25.1,55.2,1.5,0.00,0.206,6.2,0.0000,0.0000
6684,1.416,P1: 起始平穩,38.73,25.1,54.3,1.3,0.00,0.206,9.2,0.0000,0.0000
6709,1.441,P1: 起始平穩,38.89,25.1,54.0,1.1,0.00,0.206,9.2,0.0000,0.0000
6733,1.465,P1: 起始平穩,39.07,25.1,53.7,1.0,0.00,0.206,7.2,0.0000,0.0000
6759,1.491,P1: 起始平穩,39.46,25.1,53.4,1.0,0.00,0.206,9.2,0.0000,0.0000
6784,1.516,P1: 起始平穩,39.36,25.1,53.4,1.0,0.00,0.206,9.2,0.0000,0.0000
6807,1.539,P1: 起始平穩,39.35,25.0,53.5,1.1,0.00,0.206,7.2,0.0000,0.0000
6833,1.565,P1: 起始平穩,40.07,25.1,53.2,1.1,0.00,0.264,10.2,0.0000,0.0000
6858,1.590,P1: 起始平穩,39.76,25.0,53.3,1.2,0.00,0.264,8.9,0.0000,0.0000
6881,1.613,P1: 起始平穩,39.85,25.0,53.2,1.1,0.00,0.264,7.9,0.0000,0.0000
6904,1.636,P1: 起始平穩,40.49,24.9,52.6,1.0,0.00,0.264,7.9,0.0000,0.0000
6927,1.659,P1: 起始平穩,40.91,24.8,52.1,0.8,0.00,0.264,7.9,0.0000,0.0000
6954,1.686,P1: 起始平穩,41.20,24.7,51.7,0.7,0.00,0.264,9.9,0.0000,0.0000
6982,1.714,P1: 起始平穩,40.53,24.6,51.8,0.5,0.00,0.264,11.9,0.0000,0.0000
7008,1.740,P1: 起始平穩,39.96,24.5,52.0,0.4,0.00,0.264,10.9,0.0000,0.0000
7033,1.765,P1: 起始平穩,39.73,24.4,52.1,0.4,0.00,0.218,9.9,0.0000,0.0000
7056,1.788,P1: 起始平穩,39.73,24.4,52.1,0.5,0.00,0.218,6.5,0.0000,0.0000
7081,1.813,P1: 起始平穩,40.31,24.5,51.9,0.6,0.00,0.218,9.5,0.0000,0.0000
7107,1.839,P1: 起始平穩,40.15,24.5,52.0,0.6,0.00,0.218,10.5,0.0000,0.0000
7130,1.862,P1: 起始平穩,39.94,24.5,52.2,0.7,0.00,0.218,7.5,0.0000,0.0000
7152,1.884,P1: 起始平穩,40.56,24.5,51.9,0.7,0.00,0.218,6.5,0.0000,0.0000
7174,1.906,P1: 起始平穩,41.24,24.6,51.6,0.8,0.00,0.218,6.5,0.0000,0.0000
