Timestamp(ms),Elapsed(s),Phase,FPS,RTT(ms),MTP(ms),Jitter(ms),Loss(%),LoadRatio,CPU_Load(ms),Reward_Inst,Reward_Cum
11995,0.020,,120.00,2.0,12.3,0.0,0.00,0.508,0.0,8.1415,8.1415
13071,0.040,P1: 起始平穩,109.50,6.2,18.1,0.7,0.00,0.508,15.2,-0.7269,7.4146
13147,0.116,P1: 起始平穩,100.58,9.6,22.3,0.7,0.00,0.504,16.2,5.7358,13.1504
13184,0.153,P1: 起始平穩,87.45,12.3,26.2,0.5,0.00,0.492,19.1,5.4078,18.5582
13214,0.183,P1: 起始平穩,78.41,14.4,29.7,0.5,0.00,0.496,15.8,3.6567,22.2150
13248,0.217,P1: 起始平穩,71.62,16.2,32.7,0.6,0.00,0.496,18.9,-0.6804,21.5346
13278,0.248,P1: 起始平穩,65.30,17.6,35.7,0.8,0.00,0.541,15.9,3.0652,24.5998
13313,0.282,P1: 起始平穩,60.45,18.7,38.2,0.9,0.00,0.496,19.2,2.1690,26.7687
13344,0.314,P1: 起始平穩,55.70,19.7,40.7,1.1,0.00,0.496,15.9,-0.5162,26.2525
13376,0.346,P1: 起始平穩,52.16,20.5,42.8,1.2,0.00,0.520,14.9,1.6962,27.9487
13408,0.378,P1: 起始平穩,49.02,21.1,44.7,1.2,0.00,0.466,16.6,1.1147,29.0634
13442,0.411,P1: 起始平穩,46.34,21.6,46.4,1.1,0.00,0.466,18.0,-0.2880,28.7754
13474,0.443,P1: 起始平穩,43.85,22.1,48.0,1.1,0.00,0.422,16.0,0.7071,29.4825
13508,0.477,P1: 起始平穩,41.97,22.5,49.4,1.1,0.00,0.374,15.7,-0.4795,29.0030
13540,0.510,P1: 起始平穩,40.10,22.8,50.6,0.9,0.00,0.374,12.2,-0.5984,28.4046
13572,0.541,P1: 起始平穩,38.70,23.0,51.5,0.7,0.00,0.342,13.2,-0.9541,27.4505
13604,0.574,P1: 起始平穩,37.63,23.1,52.2,0.5,0.00,0.321,12.3,-0.9236,26.5269
13637,0.606,P1: 起始平穩,36.60,23.3,53.1,0.5,0.00,0.321,10.6,-0.2891,26.2377
13669,0.638,P1: 起始平穩,35.78,23.4,54.0,0.7,0.00,0.311,12.6,-1.2884,24.9493
13701,0.671,P1: 起始平穩,35.01,23.6,55.0,0.9,0.00,0.298,11.3,-1.3647,23.5846
13731,0.700,P1: 起始平穩,34.43,23.8,55.8,0.9,0.00,0.298,9.9,-0.1685,23.4161
13762,0.732,P1: 起始平穩,34.33,23.9,55.8,0.8,0.00,0.295,11.9,-1.3050,22.1111
13793,0.762,P1: 起始平穩,33.93,23.9,55.9,0.5,0.00,0.295,10.9,-0.0948,22.0163
13823,0.792,P1: 起始平穩,33.78,23.9,55.9,0.3,0.00,0.306,11.9,-1.5438,20.4725
13853,0.822,P1: 起始平穩,33.69,23.9,55.9,0.3,0.00,0.303,10.2,-1.5473,18.9252
13883,0.852,P1: 起始平穩,33.66,23.9,56.0,0.4,0.00,0.303,11.1,-0.0179,18.9074
13916,0.885,P1: 起始平穩,33.60,23.9,56.3,0.6,0.00,0.293,13.1,-1.4732,17.4342
13945,0.915,P1: 起始平穩,33.13,24.0,57.1,0.9,0.00,0.293,9.8,-0.1548,17.2794
13975,0.944,P1: 起始平穩,33.23,24.2,57.3,1.1,0.00,0.259,8.8,-1.1545,16.1249
