Timestamp(ms),Elapsed(s),Phase,FPS,RTT(ms),MTP(ms),Jitter(ms),Loss(%),LoadRatio,CPU_Load(ms),Reward_Inst,Reward_Cum
27162,0.000,,120.00,2.0,2.7,0.0,0.00,0.321,0.0,0.8681,0.8681
29096,0.020,P1: 天堂,112.47,2.1,4.6,0.7,0.00,0.587,4.4,0.7080,1.5761
29218,0.040,P1: 天堂,105.05,2.2,5.2,0.8,0.00,0.325,5.6,0.7703,5.8575
29273,0.205,P1: 天堂,83.60,2.9,5.1,0.6,0.00,0.476,4.5,0.5807,7.0087
29332,0.260,P1: 天堂,80.87,3.1,5.5,0.9,0.00,0.286,4.2,0.6103,8.8039
29396,0.324,P1: 天堂,77.12,3.2,6.3,1.2,0.00,0.435,6.2,0.5561,10.4776
29463,0.390,P1: 天堂,78.11,3.3,5.5,0.9,0.00,0.305,4.1,0.5902,12.7918
29521,0.454,P1: 天堂,80.22,3.4,5.4,0.6,0.00,0.241,3.6,0.6171,14.6165
29572,0.503,P1: 天堂,81.64,3.5,5.5,0.6,0.00,0.208,3.3,0.6200,15.8525
29623,0.556,P1: 天堂,82.08,3.5,5.6,0.8,0.00,0.271,3.5,0.6187,17.7179
29685,0.617,P1: 天堂,82.62,3.6,5.9,0.7,0.00,0.177,4.2,0.6310,19.6137
29745,0.678,P1: 天堂,82.42,3.6,5.6,0.4,0.00,0.237,3.9,0.6300,21.5062
29795,0.727,P1: 天堂,82.17,3.6,5.4,0.5,0.00,0.303,3.8,0.6163,22.7454
29847,0.778,P1: 天堂,80.90,3.7,5.8,0.6,0.00,0.218,4.1,0.6231,24.6033
29900,0.831,P1: 天堂,81.67,3.7,5.7,0.7,0.00,0.227,3.3,0.6294,26.4798
29951,0.883,P1: 天堂,82.88,3.7,5.6,0.6,0.00,0.209,3.1,0.6351,27.7460
30005,0.937,P1: 天堂,82.55,3.7,5.5,0.4,0.00,0.284,3.8,0.6253,29.6318
30061,0.993,P1: 天堂,81.32,3.7,5.7,0.6,0.00,0.256,3.9,0.6198,31.4871
30112,1.044,P1: 天堂,82.24,3.7,5.8,0.8,0.00,0.251,3.4,0.6263,32.7379
30165,1.096,P1: 天堂,80.84,3.7,6.1,1.2,0.00,0.295,4.1,0.6111,34.5797
30218,1.149,P1: 天堂,80.42,3.7,6.2,1.1,0.00,0.266,4.4,0.6149,36.4234
30273,1.203,P1: 天堂,80.60,3.7,5.9,0.8,0.00,0.257,4.1,0.6141,37.6477
30324,1.256,P1: 天堂,82.41,3.7,5.3,0.5,0.00,0.301,3.2,0.6165,39.5018
30378,1.309,P1: 天堂,81.32,3.7,5.5,0.2,0.00,0.342,4.6,0.6026,41.3353
30431,1.362,P1: 天堂,80.20,3.7,5.6,0.3,0.00,0.262,4.3,0.6079,42.5390
30494,1.425,P1: 天堂,81.61,3.7,5.8,0.7,0.00,0.306,4.2,0.6079,44.3913
30550,1.481,P1: 天堂,80.27,3.7,6.0,1.1,0.00,0.351,4.5,0.5955,46.2074
30604,1.537,P1: 天堂,78.69,3.7,5.8,1.2,0.00,0.355,3.9,0.5811,47.9661
30660,1.592,P1: 天堂,77.84,3.7,5.8,0.9,0.00,0.293,4.0,0.5891,49.7170
30712,1.645,P1: 天堂,79.88,3.7,5.6,0.6,0.00,0.295,4.0,0.5972,50.9097
30773,1.705,P1: 天堂,81.01,3.7,5.4,0.4,0.00,0.278,3.4,0.6099,52.7409
30834,1.766,P1: 天堂,80.93,3.7,5.8,0.6,0.00,0.255,4.1,0.6198,54.5882
30894,1.826,P1: 天堂,81.25,3.7,5.8,0.7,0.00,0.244,4.0,0.6230,56.4586
30957,1.888,P1: 天堂,80.92,3.7,6.0,0.8,0.00,0.258,4.2,0.6189,58.9382
31011,1.942,P1: 天堂,81.19,3.7,6.0,1.0,0.00,0.282,4.4,0.6192,60.1706
31064,1.994,P1: 天堂,80.62,3.7,6.0,0.8,0.00,0.233,4.0,0.6152,62.0124
31116,2.047,P1: 天堂,82.03,3.7,5.6,0.5,0.00,0.240,3.6,0.6301,63.8954
31170,2.100,P1: 天堂,81.39,3.7,5.6,0.2,0.00,0.295,4.7,0.6164,65.1355
31224,2.154,P1: 天堂,80.58,3.7,5.6,0.3,0.00,0.236,4.1,0.6171,66.9803
31275,2.206,P1: 天堂,81.61,3.7,5.9,0.6,0.00,0.251,4.3,0.6245,68.2272
31329,2.260,P1: 天堂,81.55,3.7,5.8,0.9,0.00,0.326,4.1,0.6059,70.0738
31386,2.317,P1: 天堂,79.59,3.7,6.1,1.0,0.00,0.324,4.7,0.5958,71.8625
31437,2.369,P1: 天堂,79.80,3.7,5.8,0.8,0.00,0.245,3.9,0.6133,73.6774
31489,2.421,P1: 天堂,80.36,3.7,5.8,0.7,0.00,0.235,3.9,0.6171,74.9120
31542,2.474,P1: 天堂,80.64,3.7,5.9,0.7,0.00,0.220,4.2,0.6211,76.7731
31595,2.526,P1: 天堂,81.74,3.7,5.7,0.7,0.00,0.229,3.3,0.6257,78.0205
31647,2.579,P1: 天堂,82.77,3.7,5.7,0.7,0.00,0.247,3.3,0.6306,79.9106
31699,2.630,P1: 天堂,82.84,3.8,6.0,0.7,0.00,0.197,4.0,0.6381,81.8250
31757,2.689,P1: 天堂,83.09,3.8,6.0,0.7,0.00,0.194,4.0,0.6404,83.7468
31817,2.748,P1: 天堂,83.65,3.8,6.0,0.7,0.00,0.179,4.0,0.6401,85.6739
31875,2.807,P1: 天堂,84.34,3.8,5.9,0.7,0.00,0.182,3.2,0.6441,86.9623
31932,2.865,P1: 天堂,84.29,3.8,5.8,0.6,0.00,0.212,3.6,0.6470,88.9029
31982,2.914,P1: 天堂,84.54,3.8,5.6,0.5,0.00,0.256,3.6,0.6427,90.8404
32036,2.967,P1: 天堂,82.32,3.8,5.7,0.5,0.00,0.299,4.6,0.6209,92.7231
32090,3.022,P1: 天堂,81.18,3.8,5.9,0.7,0.00,0.217,3.9,0.6213,93.9639
32153,3.084,P1: 天堂,81.86,3.8,5.9,0.8,0.00,0.221,3.5,0.6277,95.8380
32214,3.146,P1: 天堂,82.34,3.8,5.8,0.6,0.00,0.216,3.9,0.6327,97.7361
32276,3.208,P1: 天堂,83.05,3.8,5.8,0.6,0.00,0.213,3.4,0.6390,100.2746
32327,3.260,P1: 天堂,83.20,3.8,6.1,0.9,0.00,0.225,3.8,0.6375,101.5511
32380,3.312,P1: 天堂,82.62,3.8,6.2,1.2,0.00,0.249,3.7,0.6328,103.4550
32433,3.364,P1: 天堂,82.62,3.8,6.0,1.0,0.00,0.238,3.4,0.6313,104.7208
32486,3.417,P1: 天堂,82.67,3.8,6.1,0.7,0.00,0.180,4.3,0.6310,106.6211
32538,3.470,P1: 天堂,82.50,3.8,5.5,0.4,0.00,0.286,3.7,0.6199,108.5038
32592,3.523,P1: 天堂,81.42,3.8,5.2,0.2,0.00,0.354,3.8,0.5996,109.7061
32643,3.575,P1: 天堂,81.45,3.7,5.6,0.4,0.00,0.237,3.6,0.6243,111.5494
32695,3.626,P1: 天堂,81.46,3.7,6.0,0.7,0.00,0.290,4.7,0.6147,112.7901
32747,3.679,P1: 天堂,80.26,3.7,6.2,1.1,0.00,0.322,4.9,0.6014,114.6120
32798,3.730,P1: 天堂,78.74,3.7,6.0,1.2,0.00,0.382,4.6,0.5720,116.3609
32850,3.780,P1: 天堂,78.74,3.7,5.8,0.9,0.00,0.361,4.4,0.5766,117.5197
32901,3.832,P1: 天堂,79.23,3.7,5.8,0.6,0.00,0.252,4.2,0.6086,119.3178
32961,3.894,P1: 天堂,80.31,3.7,5.5,0.4,0.00,0.267,3.9,0.6135,121.1566
33015,3.945,P1: 天堂,80.21,3.7,5.8,0.5,0.00,0.300,4.7,0.6069,122.3757
33067,3.998,P1: 天堂,80.00,3.7,5.9,0.7,0.00,0.238,4.3,0.6160,124.2176
33128,4.060,P1: 天堂,81.58,3.7,5.9,0.7,0.00,0.228,3.9,0.6279,126.0867
33191,4.123,P1: 天堂,82.91,3.7,5.8,0.7,0.00,0.199,3.4,0.6344,127.9838
33253,4.184,P1: 天堂,84.20,3.8,5.8,0.7,0.00,0.206,3.1,0.6457,129.9102
33303,4.236,P1: 天堂,84.71,3.8,5.8,0.7,0.00,0.199,3.1,0.6524,131.8611
33355,4.286,P1: 天堂,85.03,3.8,5.8,0.6,0.00,0.214,3.8,0.6547,133.1687
33405,4.337,P1: 天堂,84.93,3.8,5.4,0.4,0.00,0.288,3.5,0.6371,135.1088
33460,4.391,P1: 天堂,82.05,3.8,6.0,0.6,0.00,0.246,4.9,0.6251,136.9929
33511,4.443,P1: 天堂,82.84,3.8,5.8,0.8,0.00,0.237,3.4,0.6333,138.2566
33572,4.504,P1: 天堂,82.51,3.8,6.1,1.0,0.00,0.231,3.9,0.6354,140.1648
33634,4.566,P1: 天堂,82.48,3.8,6.0,0.8,0.00,0.229,3.9,0.6344,142.0648
33696,4.628,P1: 天堂,83.31,3.8,5.9,0.7,0.00,0.199,3.8,0.6426,143.9781
33756,4.687,P1: 天堂,83.91,3.8,5.9,0.8,0.00,0.198,3.3,0.6453,146.5511
33816,4.748,P1: 天堂,83.69,3.8,6.1,1.0,0.00,0.178,3.2,0.6416,148.4806
33874,4.808,P1: 天堂,84.52,3.8,6.0,0.8,0.00,0.140,2.9,0.6341,149.7629
33935,4.866,P1: 天堂,84.06,3.8,5.8,0.5,0.00,0.235,4.1,0.6464,151.7001
33987,4.919,P1: 天堂,82.61,3.8,5.7,0.4,0.00,0.272,4.5,0.6283,153.6022
34038,4.971,P1: 天堂,83.01,3.8,5.7,0.6,0.00,0.224,3.3,0.6375,155.4996
34091,5.022,P1: 天堂,83.45,3.8,5.9,0.7,0.00,0.192,3.4,0.6355,156.7720
34153,5.084,P1: 天堂,83.11,3.8,6.0,0.8,0.00,0.200,3.8,0.6403,158.6866
34206,5.138,P1: 天堂,83.84,3.8,6.1,1.0,0.00,0.208,3.5,0.6461,160.6142
