Time,FPS,RTT,LoadRatio,Jitter,LossRate
0.02,59.00,33.32,1.00,6.59,0.0502
0.04,58.10,43.96,1.00,6.51,0.0516
0.37,52.59,51.52,1.00,1.79,0.0503
0.49,48.20,57.98,1.00,3.80,0.0512
0.60,44.29,63.69,1.00,6.54,0.0500
0.71,40.74,68.72,1.00,8.86,0.0511
0.82,37.54,71.88,1.00,4.50,0.0509
0.94,34.66,75.38,1.00,9.40,0.0504
1.05,32.12,77.39,1.00,5.41,0.0502
1.16,29.79,79.32,1.00,7.07,0.0519
1.27,27.72,80.45,1.00,4.94,0.0516
1.38,25.88,91.61,1.00,56.24,0.0514
1.49,24.20,89.72,1.00,2.19,0.0509
1.60,22.67,88.47,1.00,3.46,0.0507
1.71,21.33,86.87,1.00,0.45,0.0512
1.82,20.08,86.07,1.00,2.88,0.0509
1.93,18.96,84.88,1.00,0.14,0.0516
2.04,17.99,84.71,1.00,4.03,0.0517
2.15,17.12,83.87,1.00,0.52,0.0510
2.26,16.29,83.99,1.00,4.48,0.0508
2.38,15.55,84.93,1.00,8.69,0.0513
2.48,14.92,84.02,1.00,0.37,0.0506
2.59,14.36,83.93,1.00,3.55,0.0506
2.70,13.81,83.68,1.00,2.70,0.0503
2.81,13.33,98.43,1.00,77.44,0.0515
2.92,12.92,95.47,1.00,3.61,0.0509
3.03,12.55,92.87,1.00,2.48,0.0504
3.14,12.19,91.61,1.00,6.58,0.0514
3.25,11.89,90.92,1.00,8.17,0.0500
3.36,11.60,89.53,1.00,3.96,0.0512
3.47,11.36,89.43,1.00,9.03,0.0500
3.58,11.15,75.70,1.00,0.76,0.0009
3.62,12.48,78.98,1.00,72.10,0.0010
3.66,13.71,67.19,1.00,0.04,0.0007
3.70,14.94,59.40,1.00,8.24,0.0020
3.74,15.99,52.17,1.00,3.25,0.0018
3.78,16.81,47.08,1.00,6.73,0.0008
3.82,17.52,42.38,1.00,3.56,0.0017
3.86,18.22,39.68,1.00,8.91,0.0013
3.90,19.02,37.55,1.00,9.03,0.0013
3.94,19.77,34.47,1.00,2.16,0.0010
3.98,20.39,33.48,1.00,9.51,0.0019
4.02,20.90,42.37,1.00,57.91,0.0002
4.06,21.43,39.65,1.00,8.81,0.0017
4.10,21.71,36.03,1.00,1.55,0.0011
4.14,22.12,34.79,1.00,9.79,0.0009
4.18,22.26,32.05,1.00,1.12,0.0001
4.22,22.43,29.88,1.00,1.17,0.0007
4.26,22.86,29.22,1.00,6.57,0.0007
4.30,23.14,27.72,1.00,1.72,0.0012
4.33,23.38,28.06,1.00,9.44,0.0014
4.38,23.51,26.60,1.00,0.77,0.0019
4.42,23.42,25.48,1.00,1.00,0.0011
4.46,23.32,25.40,1.00,5.06,0.0018
4.51,23.22,26.27,1.00,9.75,0.0014
4.55,23.49,25.81,1.00,3.99,0.0001
4.59,23.59,25.09,1.00,2.20,0.0005
4.63,23.50,25.92,1.00,9.26,0.0000
4.67,23.64,26.30,1.00,7.82,0.0020
4.71,23.82,26.58,1.00,7.69,0.0016
4.75,23.95,27.26,1.00,9.96,0.0001
4.80,23.85,27.39,1.00,7.92,0.0011
4.83,24.02,26.59,1.00,3.39,0.0016
4.88,23.93,26.53,1.00,6.29,0.0009
4.92,23.80,26.34,1.00,5.56,0.0019
4.96,23.92,26.11,1.00,5.21,0.0000
5.00,24.04,25.12,1.00,1.16,0.0007
5.04,24.30,25.62,1.00,7.59,0.0002
5.08,24.35,25.80,1.00,6.53,0.0001
5.12,24.25,26.39,1.00,8.78,0.0013
5.17,24.14,26.56,1.00,7.23,0.0002
5.21,24.14,39.67,1.00,72.11,0.0015
5.24,24.42,36.03,1.00,1.45,0.0006
5.28,24.64,34.28,1.00,7.28,0.0004
5.33,24.14,32.24,1.00,4.11,0.0008
5.38,24.05,31.18,1.00,6.91,0.0005
5.44,23.11,30.02,1.00,5.40,0.0018
5.49,23.20,28.23,1.00,1.05,0.0014
5.52,23.43,27.20,1.00,3.07,0.0010
5.56,24.05,27.57,1.00,9.07,0.0007
5.59,24.62,27.24,1.00,5.91,0.0016
5.63,24.84,25.99,1.00,0.98,0.0019
5.67,24.86,26.45,1.00,8.29,0.0010
5.71,24.89,26.07,1.00,4.57,0.0013
5.75,25.04,26.23,1.00,6.89,0.0000
5.78,25.20,25.03,1.00,0.19,0.0007
5.82,25.19,24.42,1.00,2.00,0.0017
5.86,25.27,41.68,1.00,90.72,0.0010
5.90,25.56,38.40,1.00,5.30,0.0004
5.94,25.57,36.39,1.00,8.33,0.0012
5.97,25.89,33.56,1.00,2.22,0.0007
6.01,25.76,44.63,1.00,68.93,0.0020
6.06,25.52,40.30,1.00,2.99,0.0013
6.10,25.48,36.60,1.00,1.78,0.0002
6.14,25.24,34.36,1.00,5.44,0.0017
6.18,25.20,32.15,1.00,3.31,0.0020
6.22,25.17,29.88,1.00,0.76,0.0000
6.26,25.24,28.64,1.00,3.69,0.0005
6.30,25.30,28.82,1.00,9.55,0.0005
6.34,25.28,28.75,1.00,8.46,0.0006
6.38,25.32,28.08,1.00,5.41,0.0016
6.43,24.58,45.09,0.58,8.91,0.0001
6.46,25.60,58.61,0.58,7.71,0.0013
6.48,27.06,68.81,0.57,3.80,0.0006
6.51,27.89,76.63,0.57,1.32,0.0016
6.54,29.27,83.62,0.57,4.96,0.0019
6.56,31.02,88.29,0.57,0.36,0.0002
6.58,32.59,93.34,0.57,6.98,0.0002
6.60,33.39,96.14,0.57,0.73,0.0019
6.63,34.31,99.19,0.57,4.76,0.0010
6.65,35.50,101.67,0.57,5.03,0.0022
6.67,36.63,103.40,0.57,3.72,0.0027
6.69,37.42,122.30,0.57,91.26,0.0124
6.72,36.84,120.06,0.57,4.50,0.0104
6.75,37.31,123.13,0.44,3.40,0.0126
6.77,38.06,125.20,0.44,1.52,0.0135
6.79,40.02,128.10,0.44,7.69,0.0159
