Timestamp(ms),Elapsed(s),IsURSActive,FPS,RTT(ms),MTP(ms),Jitter(ms),Loss(%),LocalLag(ms),LocalRatio,EdgeRatio,Reward,Phase,SyncRTT,SyncLag,CubeCount,ParticleRate,Temperature(C)
63912207971218,0.000,1,60.00,5.0,7.1,0.00,0.000,7.32,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,0,0,40.0
63912207971965,0.000,1,60.00,5.0,7.5,0.54,0.000,7.25,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,40.0
63912207972017,0.020,1,60.00,5.0,7.5,0.54,0.000,7.41,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,40.0
63912207972062,0.064,1,60.00,5.0,7.5,0.66,0.000,7.01,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,40.0
63912207972107,0.107,1,60.00,5.0,7.7,0.91,0.000,7.10,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,40.0
63912207972139,0.139,1,60.00,5.0,8.0,1.16,0.000,7.58,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,40.0
63912207972165,0.168,1,60.00,5.0,8.0,1.19,0.000,7.36,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,40.0
63912207972195,0.197,1,60.00,5.0,7.9,1.07,0.000,7.29,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,40.0
63912207972223,0.226,1,60.00,5.0,7.8,0.88,0.000,7.33,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,40.0
63912207972252,0.254,1,60.00,5.0,7.6,0.71,0.000,7.37,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,40.0
63912207972281,0.284,1,60.00,5.0,7.5,0.57,0.000,7.25,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,40.0
63912207972311,0.312,1,60.00,5.0,7.4,0.45,0.000,7.32,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,40.0
63912207972338,0.341,1,60.00,5.0,7.4,0.42,0.000,7.20,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,40.0
63912207972367,0.368,1,60.00,5.0,7.4,0.48,0.000,7.31,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,40.0
63912207972399,0.399,1,60.00,5.0,7.5,0.58,0.000,7.26,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,40.0
63912207972424,0.427,1,60.00,5.0,7.6,0.68,0.000,7.34,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,40.0
63912207972452,0.455,1,60.00,5.0,7.6,0.70,0.000,7.06,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,40.0
63912207972480,0.484,1,60.00,5.0,7.6,0.72,0.000,7.08,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,40.0
