Timestamp(ms),Elapsed(s),IsURSActive,FPS,RTT(ms),MTP(ms),Jitter(ms),Loss(%),LocalLag(ms),LocalRatio,EdgeRatio,Reward,Phase,SyncRTT,SyncLag,CubeCount,ParticleRate,Temperature(C)
63912210905530,0.000,1,60.00,5.0,11.9,0.00,0.000,16.15,0.530,0.470,0.4180,P1: Baseline (No Stress),0,0,0,0,40.0
63912210905974,0.000,1,60.00,5.0,12.2,0.37,0.000,16.53,0.530,0.470,0.4180,P1: Baseline (No Stress),0,0,16,235,40.0
63912210906014,0.020,1,60.00,5.0,12.1,0.37,0.000,16.32,0.530,0.470,0.4510,P1: Baseline (No Stress),0,0,16,235,40.0
63912210906065,0.070,1,60.00,5.0,11.9,0.50,0.000,15.86,0.530,0.470,0.4510,P1: Baseline (No Stress),0,0,16,235,40.0
63912210906112,0.114,1,60.00,5.0,11.8,0.78,0.000,15.68,0.504,0.496,0.9126,P1: Baseline (No Stress),0,0,16,235,40.0
63912210906144,0.151,1,60.00,5.0,11.8,1.07,0.000,15.52,0.504,0.496,0.9126,P1: Baseline (No Stress),0,0,15,248,40.0
63912210906174,0.180,1,60.00,5.0,11.6,1.20,0.000,14.96,0.504,0.496,0.9126,P1: Baseline (No Stress),0,0,15,248,40.0
63912210906204,0.210,1,60.00,5.0,12.2,1.14,0.000,15.82,0.523,0.477,1.3648,P1: Baseline (No Stress),0,0,15,248,40.0
63912210906234,0.239,1,60.00,5.0,12.2,0.96,0.000,15.99,0.523,0.477,1.3667,P1: Baseline (No Stress),0,0,16,239,40.0
63912210906263,0.270,1,60.00,5.0,11.9,0.77,0.000,15.60,0.523,0.477,1.3667,P1: Baseline (No Stress),0,0,16,239,40.0
63912210906338,0.298,1,60.00,5.0,11.2,0.62,0.000,15.10,0.472,0.528,1.8351,P1: Baseline (No Stress),0,0,16,239,40.0
63912210906370,0.374,1,60.00,5.0,11.1,0.49,0.000,15.19,0.472,0.528,1.8401,P1: Baseline (No Stress),0,0,14,264,40.0
63912210906398,0.406,1,60.00,5.0,10.6,0.51,0.000,14.13,0.466,0.534,2.3151,P1: Baseline (No Stress),0,0,14,264,40.0
63912210906425,0.432,1,60.00,5.0,10.9,0.63,0.000,14.66,0.466,0.534,2.3158,P1: Baseline (No Stress),0,0,14,264,40.0
63912210906453,0.460,1,60.00,5.0,10.8,0.69,0.000,14.40,0.466,0.534,2.3158,P1: Baseline (No Stress),0,0,14,264,40.0
63912210906479,0.489,1,60.00,5.0,10.6,0.70,0.000,13.86,0.466,0.534,2.3158,P1: Baseline (No Stress),0,0,14,264,40.0
63912210906563,0.515,1,60.00,5.0,9.9,0.73,0.000,12.92,0.416,0.584,2.8086,P1: Baseline (No Stress),0,0,14,264,40.0
63912210906636,0.599,1,60.00,5.0,8.5,0.82,0.000,10.06,0.308,0.692,3.3212,P1: Baseline (No Stress),0,0,12,292,40.0
63912210906661,0.672,1,46.77,5.0,8.6,0.94,0.000,10.07,0.308,0.692,3.2526,P1: Baseline (No Stress),0,0,9,346,40.0
63912210906745,0.697,1,41.63,4.2,11.8,0.60,0.000,16.43,0.517,0.483,3.5472,P1: Baseline (No Stress),0,0,9,346,40.0
63912210906777,0.781,1,40.59,4.0,11.2,0.44,0.000,15.58,0.517,0.483,3.5618,P1: Baseline (No Stress),0,0,16,242,40.0
63912210906848,0.812,1,38.47,3.5,8.8,0.26,0.000,13.29,0.407,0.593,3.9174,P1: Baseline (No Stress),0,0,16,242,40.0
63912210906880,0.888,1,38.03,3.3,8.7,0.45,0.000,12.95,0.407,0.593,3.9258,P1: Baseline (No Stress),0,0,12,296,40.0
63912210906906,0.916,1,37.41,2.9,8.4,0.86,0.000,12.19,0.407,0.593,4.2861,P1: Baseline (No Stress),0,0,12,296,40.0
63912210906931,0.942,1,37.27,2.8,8.9,0.96,0.000,13.37,0.407,0.593,4.2853,P1: Baseline (No Stress),0,0,12,296,40.0
63912210906960,0.969,1,37.18,2.8,8.8,0.97,0.000,13.28,0.407,0.593,4.2847,P1: Baseline (No Stress),0,0,12,296,40.0
63912210907033,0.998,1,37.10,2.7,7.6,0.91,0.000,11.22,0.349,0.651,4.6540,P1: Baseline (No Stress),0,0,12,296,40.0
63912210907059,1.070,1,37.04,2.6,7.4,0.80,0.000,11.12,0.349,0.651,4.6595,P1: Baseline (No Stress),0,0,10,325,40.0
63912210907142,1.098,1,36.94,2.5,6.2,0.70,0.000,9.18,0.265,0.735,5.0444,P1: Baseline (No Stress),0,0,10,325,40.0
63912210907167,1.180,1,36.92,2.4,6.1,0.70,0.000,9.00,0.265,0.735,5.0526,P1: Baseline (No Stress),0,0,8,367,40.0
63912210907192,1.208,1,36.88,2.3,6.0,0.70,0.000,8.96,0.255,0.745,5.4468,P1: Baseline (No Stress),0,0,8,367,40.0
63912210907215,1.228,1,34.08,2.3,6.0,0.70,0.000,8.87,0.255,0.745,5.4310,P1: Baseline (No Stress),0,0,8,367,40.0
63912210907234,1.250,1,32.53,2.2,5.9,0.70,0.000,8.68,0.255,0.745,5.4217,P1: Baseline (No Stress),0,0,8,367,40.0
63912210907261,1.276,1,31.14,2.2,5.9,0.70,0.000,8.57,0.255,0.745,5.4133,P1: Baseline (No Stress),0,0,8,367,40.0
63912210907295,1.298,1,29.82,2.2,11.0,0.70,0.000,16.59,0.523,0.477,5.6593,P1: Baseline (No Stress),0,0,8,367,40.0
63912210907369,1.376,1,28.96,2.2,10.6,0.70,0.000,15.82,0.523,0.477,5.6810,P1: Baseline (No Stress),0,0,16,238,40.0
63912210907397,1.405,1,27.05,2.1,11.0,0.70,0.000,16.25,0.542,0.458,5.9275,P1: Baseline (No Stress),0,0,16,238,40.0
63912210907428,1.436,1,26.64,2.1,11.2,0.70,0.000,16.52,0.542,0.458,5.9270,P1: Baseline (No Stress),0,0,16,229,40.0
63912210907458,1.467,1,26.32,2.1,11.3,0.70,0.000,16.69,0.542,0.458,5.9251,P1: Baseline (No Stress),0,0,16,229,40.0
63912210907483,1.493,1,26.09,2.1,11.1,0.70,0.000,16.45,0.542,0.458,5.9237,P1: Baseline (No Stress),0,0,16,229,40.0
63912210907511,1.519,1,25.94,2.1,11.3,0.65,0.000,16.29,0.564,0.436,6.1564,P1: Baseline (No Stress),0,0,16,229,40.0
63912210907539,1.548,1,25.82,2.1,11.4,0.56,0.000,16.55,0.564,0.436,6.1557,P1: Baseline (No Stress),0,0,17,218,40.0
63912210907571,1.577,1,25.72,2.1,12.0,0.46,0.000,17.72,0.564,0.436,6.1551,P1: Baseline (No Stress),0,0,17,218,40.0
63912210907600,1.608,1,25.65,2.1,7.2,0.42,0.000,11.81,0.376,0.624,6.4357,P1: Baseline (No Stress),0,0,17,218,40.0
63912210907663,1.674,1,25.59,2.1,7.2,0.49,0.000,11.70,0.376,0.624,6.4542,P1: Baseline (No Stress),0,0,11,312,40.0
63912210907696,1.700,1,25.52,2.0,10.6,0.79,0.000,15.80,0.525,0.475,6.6857,P1: Baseline (No Stress),0,0,11,312,40.0
63912210907774,1.781,1,25.50,2.0,10.3,0.85,0.000,15.27,0.525,0.475,6.7005,P1: Baseline (No Stress),0,0,16,238,40.0
63912210907805,1.811,1,25.46,2.0,8.9,0.59,0.000,14.23,0.443,0.557,6.9691,P1: Baseline (No Stress),0,0,16,238,40.0
63912210907869,1.879,1,27.54,2.0,8.6,0.55,0.000,13.75,0.443,0.557,6.9898,P1: Baseline (No Stress),0,0,13,279,40.0
63912210907899,1.906,1,30.58,2.0,7.4,0.84,0.000,11.97,0.364,0.636,7.3144,P1: Baseline (No Stress),0,0,13,279,40.0
63912210907968,1.979,1,31.31,2.0,7.3,1.02,0.000,11.16,0.364,0.636,7.3267,P1: Baseline (No Stress),0,0,11,318,40.0
63912210907991,2.005,1,32.54,2.0,8.0,1.14,0.000,12.12,0.402,0.598,7.6555,P1: Baseline (No Stress),0,0,11,318,40.0
63912210908029,2.041,1,32.80,2.0,8.3,0.99,0.000,13.12,0.402,0.598,7.6609,P1: Baseline (No Stress),0,0,12,299,40.0
63912210908059,2.073,1,33.07,2.0,7.7,0.77,0.000,12.13,0.402,0.598,7.6625,P1: Baseline (No Stress),0,0,12,299,40.0
63912210908092,2.105,1,33.24,2.0,6.4,0.59,0.000,10.15,0.325,0.675,8.0145,P1: Baseline (No Stress),0,0,12,299,40.0
63912210908124,2.139,1,33.36,2.0,6.3,0.38,0.000,10.27,0.325,0.675,8.0229,P1: Baseline (No Stress),0,0,10,337,40.0
63912210908155,2.170,1,33.45,2.0,6.3,0.21,0.000,10.68,0.325,0.675,8.0235,P1: Baseline (No Stress),0,0,10,337,40.0
63912210908191,2.200,1,33.51,2.0,5.4,0.22,0.000,9.00,0.254,0.746,8.3919,P1: Baseline (No Stress),0,0,10,337,40.0
63912210908269,2.284,1,33.56,2.0,5.4,0.37,0.000,8.53,0.254,0.746,8.3993,P1: Baseline (No Stress),0,0,8,373,40.0
63912210908308,2.315,1,33.63,2.0,7.1,0.87,0.000,11.06,0.356,0.644,8.7521,P1: Baseline (No Stress),0,0,8,373,40.0
63912210908372,2.385,1,33.64,2.0,7.2,1.08,0.000,11.15,0.356,0.644,8.7521,P1: Baseline (No Stress),0,0,11,322,40.0
63912210908407,2.419,1,30.94,2.0,7.8,1.12,0.000,12.14,0.379,0.621,9.0822,P1: Baseline (No Stress),0,0,11,322,40.0
63912210908454,2.467,1,30.16,2.0,7.5,0.90,0.000,11.67,0.379,0.621,9.0775,P1: Baseline (No Stress),0,0,11,310,40.0
63912210908495,2.505,1,29.42,2.0,6.0,0.63,0.000,9.51,0.287,0.713,9.4084,P1: Baseline (No Stress),0,0,11,310,40.0
63912210908568,2.582,1,29.06,2.0,5.8,0.47,0.000,9.24,0.287,0.713,9.4154,P1: Baseline (No Stress),0,0,9,356,40.0
63912210908600,2.616,1,28.62,2.0,5.5,0.54,0.000,8.57,0.247,0.753,9.7623,P1: Baseline (No Stress),0,0,9,356,40.0
63912210908636,2.653,1,28.51,2.0,5.7,0.66,0.000,8.90,0.247,0.753,9.7617,P1: Baseline (No Stress),0,0,7,377,40.0
63912210908672,2.689,1,28.43,2.0,5.6,0.70,0.000,8.31,0.247,0.753,9.7612,P1: Baseline (No Stress),0,0,7,377,40.0
63912210908713,2.722,1,28.37,2.0,5.4,0.70,0.000,7.92,0.213,0.787,10.1107,P1: Baseline (No Stress),0,0,7,377,40.0
