Timestamp(ms),Elapsed(s),IsURSActive,FPS,RTT(ms),MTP(ms),Jitter(ms),Loss(%),LocalLag(ms),LocalRatio,EdgeRatio,Reward,Phase,SyncRTT,SyncLag,CubeCount,ParticleRate,Temperature(C)
63913784178608,0.000,1,60.00,5.0,3.4,0.00,0.000,2.00,0.718,0.282,0.3133,P1: Baseline (No Stress),0,0,0,0,40.5
63913784179395,0.000,1,60.00,5.0,17.0,0.70,0.000,20.65,0.718,0.282,0.3133,P1: Baseline (No Stress),0,0,0,0,40.5
63913784179428,0.020,1,60.00,5.0,17.7,0.70,0.000,21.58,0.718,0.282,0.3651,P1: Baseline (No Stress),0,0,0,0,40.5
63913784179461,0.052,1,60.00,5.0,17.4,0.68,0.000,21.22,0.718,0.282,0.3651,P1: Baseline (No Stress),0,0,0,0,40.5
63913784179500,0.089,1,60.00,5.0,17.9,0.58,0.000,22.01,0.718,0.282,0.3651,P1: Baseline (No Stress),0,0,0,0,40.5
63913784179535,0.125,1,60.00,5.0,17.0,0.45,0.000,21.37,0.683,0.317,0.7476,P1: Baseline (No Stress),0,0,0,0,40.5
63913784179568,0.158,1,60.00,5.0,16.2,0.43,0.000,20.20,0.683,0.317,0.7476,P1: Baseline (No Stress),0,0,0,0,40.5
63913784179598,0.190,1,60.00,5.0,15.7,0.53,0.000,19.42,0.683,0.317,0.7476,P1: Baseline (No Stress),0,0,0,0,40.5
63913784179638,0.221,1,60.00,5.0,14.4,0.68,0.000,20.45,0.525,0.475,1.2007,P1: Baseline (No Stress),0,0,0,0,40.5
63913784179719,0.301,1,60.00,5.0,11.0,0.86,0.000,15.43,0.410,0.590,1.6840,P1: Baseline (No Stress),0,0,0,0,40.5
63913784179797,0.385,1,60.00,5.0,10.2,1.20,0.000,13.15,0.410,0.590,1.6955,P1: Baseline (No Stress),0,0,0,0,40.5
63913784179821,0.413,1,60.00,5.0,9.5,0.74,0.000,12.51,0.370,0.630,2.1986,P1: Baseline (No Stress),0,0,0,0,40.5
63913784179845,0.436,1,60.00,5.0,9.1,0.59,0.000,11.61,0.370,0.630,2.2026,P1: Baseline (No Stress),0,0,0,0,40.5
63913784179867,0.460,1,60.00,5.0,9.2,0.44,0.000,12.26,0.370,0.630,2.2026,P1: Baseline (No Stress),0,0,0,0,40.5
63913784179889,0.481,1,60.00,5.0,8.9,0.29,0.000,11.55,0.370,0.630,2.2026,P1: Baseline (No Stress),0,0,0,0,40.5
63913784179912,0.504,1,60.00,5.0,8.9,0.20,0.000,11.54,0.386,0.614,2.7033,P1: Baseline (No Stress),0,0,0,0,40.5
63913784179935,0.527,1,60.00,5.0,9.2,0.20,0.000,12.47,0.386,0.614,2.7049,P1: Baseline (No Stress),0,0,0,0,40.5
63913784179957,0.549,1,56.24,5.0,9.0,0.29,0.000,11.81,0.386,0.614,2.6824,P1: Baseline (No Stress),0,0,0,0,40.5
63913784179980,0.572,1,53.35,4.8,9.0,0.44,0.000,11.69,0.386,0.614,2.6650,P1: Baseline (No Stress),0,0,0,0,40.5
63913784180009,0.595,1,51.01,4.7,9.9,0.59,0.000,12.04,0.546,0.454,3.0256,P1: Baseline (No Stress),0,0,0,0,40.5
63913784180082,0.672,1,49.15,4.5,12.0,0.71,0.000,16.03,0.546,0.454,3.0305,P1: Baseline (No Stress),0,0,0,0,40.5
63913784180117,0.701,1,45.25,4.1,10.4,1.16,0.000,16.76,0.331,0.669,3.4147,P1: Baseline (No Stress),0,0,0,0,40.5
63913784180209,0.783,1,44.38,4.0,8.5,1.20,0.000,11.18,0.331,0.669,3.4310,P1: Baseline (No Stress),0,0,0,0,40.5
63913784180240,0.825,1,42.97,3.7,7.6,0.75,0.000,11.10,0.239,0.761,3.8652,P1: Baseline (No Stress),0,0,0,0,40.5
63913784180311,0.895,1,42.60,3.6,6.8,0.54,0.000,8.26,0.293,0.707,4.2798,P1: Baseline (No Stress),0,0,0,0,40.5
63913784180376,0.967,1,42.23,3.5,7.0,0.45,0.000,9.71,0.293,0.707,4.2830,P1: Baseline (No Stress),0,0,0,0,40.5
63913784180398,0.990,1,42.04,3.3,7.1,0.68,0.000,9.68,0.293,0.707,4.2819,P1: Baseline (No Stress),0,0,0,0,40.5
63913784180424,1.010,1,42.01,3.3,6.9,0.70,0.000,9.78,0.226,0.774,4.7052,P1: Baseline (No Stress),0,0,0,0,40.5
63913784180500,1.089,1,41.98,3.3,6.5,0.70,0.000,8.18,0.226,0.774,4.7117,P1: Baseline (No Stress),0,0,0,0,40.5
63913784180527,1.112,1,41.92,3.2,6.7,0.94,0.000,7.90,0.293,0.707,5.1232,P1: Baseline (No Stress),0,0,0,0,40.5
63913784180600,1.189,1,39.51,3.2,7.3,0.97,0.000,10.15,0.293,0.707,5.1155,P1: Baseline (No Stress),0,0,0,0,40.5
63913784180629,1.213,1,34.46,2.9,7.0,0.72,0.000,9.51,0.356,0.644,5.4735,P1: Baseline (No Stress),0,0,0,0,40.5
63913784180695,1.285,1,33.53,2.8,7.6,0.59,0.000,11.53,0.356,0.644,5.4679,P1: Baseline (No Stress),0,0,0,0,40.5
63913784180724,1.310,1,31.79,2.6,6.6,0.20,0.000,11.76,0.264,0.736,5.8220,P1: Baseline (No Stress),0,0,0,0,40.5
63913784180800,1.389,1,31.42,2.5,6.0,0.22,0.000,9.33,0.264,0.736,5.8290,P1: Baseline (No Stress),0,0,0,0,40.5
63913784180820,1.412,1,30.72,2.4,6.3,0.68,0.000,9.20,0.306,0.694,6.1729,P1: Baseline (No Stress),0,0,0,0,40.5
63913784180840,1.432,1,30.60,2.4,6.7,0.79,0.000,10.31,0.306,0.694,6.1764,P1: Baseline (No Stress),0,0,0,0,40.5
63913784180860,1.452,1,30.51,2.3,6.8,0.89,0.000,10.24,0.306,0.694,6.1759,P1: Baseline (No Stress),0,0,0,0,40.5
63913784180880,1.472,1,30.44,2.3,6.7,0.95,0.000,9.95,0.306,0.694,6.1755,P1: Baseline (No Stress),0,0,0,0,40.5
63913784180900,1.493,1,30.39,2.3,6.7,0.97,0.000,9.86,0.306,0.694,6.1752,P1: Baseline (No Stress),0,0,0,0,40.5
63913784180927,1.513,1,30.34,2.3,6.9,0.95,0.000,10.56,0.325,0.675,6.5165,P1: Baseline (No Stress),0,0,0,0,40.5
63913784180991,1.581,1,30.30,2.2,6.8,0.89,0.000,10.35,0.325,0.675,6.5163,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181019,1.605,1,30.22,2.2,6.2,0.70,0.000,10.34,0.240,0.760,6.8653,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181084,1.674,1,30.20,2.2,5.8,0.70,0.000,8.56,0.240,0.760,6.8736,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181110,1.696,1,30.17,2.1,6.0,0.70,0.000,8.52,0.327,0.673,7.2047,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181192,1.782,1,31.18,2.1,6.6,0.70,0.000,10.32,0.327,0.673,7.2195,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181219,1.806,1,33.47,3.0,7.6,0.70,0.000,10.26,0.412,0.588,7.5460,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181286,1.875,1,33.83,3.1,8.6,0.70,0.000,12.51,0.412,0.588,7.5567,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181314,1.901,1,34.50,3.6,8.1,0.70,0.000,12.38,0.304,0.696,7.9172,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181378,1.968,1,34.65,3.7,7.5,0.70,0.000,10.03,0.304,0.696,7.9289,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181398,1.991,1,34.90,4.0,7.7,0.70,0.000,10.07,0.304,0.696,7.9304,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181419,2.010,1,34.95,4.1,7.7,0.70,0.000,9.85,0.304,0.696,8.3043,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181439,2.031,1,34.99,4.2,7.9,0.69,0.000,10.21,0.304,0.696,8.3046,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181459,2.051,1,35.02,4.2,7.8,0.66,0.000,9.92,0.304,0.696,8.3048,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181480,2.072,1,35.04,4.3,8.0,0.59,0.000,10.41,0.304,0.696,8.3050,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181499,2.092,1,35.07,4.4,7.8,0.51,0.000,9.94,0.304,0.696,8.3051,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181520,2.111,1,35.08,4.4,8.0,0.45,0.000,10.40,0.334,0.666,8.6695,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181540,2.133,1,35.10,4.5,8.2,0.42,0.000,10.95,0.334,0.666,8.6726,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181560,2.152,1,35.11,4.5,8.2,0.44,0.000,10.78,0.334,0.666,8.6727,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181580,2.172,1,35.12,4.5,8.2,0.50,0.000,10.40,0.334,0.666,8.6727,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181600,2.192,1,35.12,4.6,8.5,0.60,0.000,11.13,0.334,0.666,8.6728,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181621,2.213,1,35.13,4.6,8.2,0.70,0.000,10.58,0.271,0.729,9.0484,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181641,2.233,1,35.14,4.6,7.9,0.79,0.000,9.21,0.271,0.729,9.0548,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181660,2.252,1,36.38,4.7,7.9,0.84,0.000,8.79,0.271,0.729,9.0623,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181679,2.271,1,37.37,4.5,7.8,0.84,0.000,9.25,0.271,0.729,9.0682,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181698,2.290,1,38.18,4.3,7.6,0.79,0.000,9.11,0.271,0.729,9.0731,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181723,2.310,1,38.84,4.1,7.8,0.71,0.000,9.27,0.400,0.600,9.4313,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181802,2.392,1,39.40,4.0,9.1,0.63,0.000,12.76,0.400,0.600,9.4476,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181832,2.418,1,40.85,3.4,8.2,0.69,0.000,12.65,0.323,0.677,9.8525,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181896,2.486,1,41.11,3.3,7.7,0.84,0.000,10.97,0.323,0.677,9.8540,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181917,2.509,1,41.55,3.0,7.6,1.20,0.000,10.25,0.339,0.661,10.2575,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181938,2.530,1,41.64,2.9,7.7,1.18,0.000,10.97,0.339,0.661,10.2596,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181960,2.552,1,41.71,2.8,7.7,1.08,0.000,11.17,0.339,0.661,10.2600,P1: Baseline (No Stress),0,0,0,0,40.5
63913784181981,2.573,1,41.76,2.7,7.3,0.94,0.000,10.54,0.339,0.661,10.2603,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182004,2.594,1,41.81,2.7,7.0,0.80,0.000,10.51,0.292,0.708,10.6734,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182024,2.616,1,41.84,2.6,6.7,0.69,0.000,10.14,0.292,0.708,10.6783,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182044,2.637,1,41.87,2.6,6.5,0.57,0.000,9.77,0.292,0.708,10.6784,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182065,2.657,1,41.89,2.5,6.3,0.44,0.000,9.40,0.292,0.708,10.6786,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182085,2.678,1,41.91,2.5,6.2,0.31,0.000,9.61,0.292,0.708,10.6787,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182106,2.697,1,41.93,2.4,6.3,0.21,0.000,9.72,0.333,0.667,11.0833,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182127,2.719,1,41.94,2.4,6.6,0.19,0.000,10.43,0.333,0.667,11.0875,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182148,2.740,1,41.95,2.4,6.6,0.25,0.000,10.48,0.333,0.667,11.0876,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182176,2.768,1,41.96,2.3,6.8,0.37,0.000,10.89,0.333,0.667,11.0876,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182210,2.801,1,42.60,2.3,6.6,0.56,0.000,10.34,0.319,0.681,11.5063,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182242,2.834,1,43.16,2.3,6.8,0.74,0.000,10.70,0.319,0.681,11.5111,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182267,2.859,1,43.55,2.2,6.9,0.94,0.000,10.51,0.319,0.681,11.5134,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182289,2.881,1,43.78,2.2,7.0,1.10,0.000,10.59,0.319,0.681,11.5148,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182312,2.902,1,43.93,2.2,7.3,1.19,0.000,10.70,0.366,0.634,11.9219,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182335,2.927,1,44.06,2.2,7.6,1.20,0.000,11.38,0.366,0.634,11.9273,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182362,2.954,1,44.17,2.2,7.7,1.10,0.000,11.99,0.366,0.634,11.9280,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182386,2.979,1,44.26,2.1,7.5,0.93,0.000,11.68,0.366,0.634,11.9286,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182418,3.002,1,44.33,2.1,6.8,0.77,0.000,11.75,0.280,0.720,12.3553,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182436,3.027,1,44.38,2.1,6.1,0.65,0.000,9.51,0.280,0.720,12.3642,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182455,3.046,1,44.42,2.1,6.0,0.53,0.000,9.63,0.280,0.720,12.3644,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182474,3.066,1,44.45,2.1,5.9,0.46,0.000,9.39,0.280,0.720,12.3646,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182492,3.084,1,44.47,2.1,5.9,0.42,0.000,9.41,0.280,0.720,12.3647,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182514,3.105,1,44.49,2.1,6.1,0.43,0.000,9.14,0.339,0.661,12.7815,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182535,3.127,1,44.50,2.1,6.6,0.48,0.000,10.72,0.339,0.661,12.7875,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182555,3.148,1,44.52,2.1,6.6,0.56,0.000,10.53,0.339,0.661,12.7875,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182577,3.169,1,44.53,2.1,7.0,0.64,0.000,11.39,0.339,0.661,12.7876,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182599,3.191,1,44.54,2.1,7.0,0.69,0.000,11.33,0.339,0.661,12.7877,P1: Baseline (No Stress),0,0,0,0,40.5
63913784182621,3.213,1,44.54,2.1,6.6,0.70,0.000,11.38,0.285,0.715,13.2179,P1: Baseline (No Stress),0,0,0,0,40.5
