Time,FPS,RTT,LoadRatio,Jitter,LossRate
0.02,0.00,0.00,1.00,0.00,0.0000
0.04,0.00,0.00,1.00,0.00,0.0000
0.19,0.00,0.00,1.00,0.00,0.0000
0.24,0.00,0.00,1.00,0.00,0.0000
0.28,0.00,0.00,1.00,0.00,0.0000
0.32,0.00,0.00,1.00,0.00,0.0000
0.37,0.00,0.00,1.00,0.00,0.0000
0.41,0.00,0.00,1.00,0.00,0.0000
0.45,0.00,0.00,1.00,0.00,0.0000
0.49,0.00,0.00,1.00,0.00,0.0000
0.53,0.00,0.00,0.80,0.00,0.0000
0.57,1.24,12.00,0.80,0.01,0.0025
0.61,1.24,12.00,0.80,0.01,0.0025
0.64,1.24,12.00,0.80,0.01,0.0025
0.67,1.24,12.00,0.80,0.01,0.0025
0.71,1.24,12.00,0.80,0.01,0.0025
0.74,1.24,12.00,0.80,0.01,0.0025
0.78,1.24,12.00,0.80,0.01,0.0025
0.81,1.24,12.00,0.80,0.01,0.0025
0.85,1.24,12.00,0.80,0.01,0.0025
0.88,1.24,12.00,0.80,0.01,0.0025
0.92,1.24,12.00,0.80,0.01,0.0025
0.95,1.24,12.00,0.80,0.01,0.0025
0.98,1.24,12.00,0.80,0.01,0.0025
1.02,1.24,12.00,0.80,0.01,0.0025
1.05,1.24,12.00,0.64,0.01,0.0025
1.08,6.88,28.41,0.64,2.44,0.0018
1.11,6.88,28.41,0.64,2.44,0.0018
1.14,6.88,28.41,0.64,2.44,0.0018
1.17,6.88,28.41,0.64,2.44,0.0018
1.20,6.88,28.41,0.64,2.44,0.0018
1.22,6.88,28.41,0.64,2.44,0.0018
1.25,6.88,28.41,0.64,2.44,0.0018
1.28,6.88,28.41,0.64,2.44,0.0018
1.31,6.88,28.41,0.64,2.44,0.0018
1.33,6.88,28.41,0.64,2.44,0.0018
1.36,6.88,28.41,0.64,2.44,0.0018
1.39,6.88,28.41,0.64,2.44,0.0018
1.42,6.88,28.41,0.64,2.44,0.0018
1.44,6.88,28.41,0.64,2.44,0.0018
1.47,6.88,28.41,0.64,2.44,0.0018
1.50,6.88,28.41,0.64,2.44,0.0018
1.52,6.88,28.41,0.64,2.44,0.0018
1.55,6.88,28.41,0.52,2.44,0.0018
1.58,12.71,46.91,0.52,3.92,0.0032
1.61,12.71,46.91,0.52,3.92,0.0032
1.64,12.71,46.91,0.52,3.92,0.0032
1.66,12.71,46.91,0.52,3.92,0.0032
1.68,12.71,46.91,0.52,3.92,0.0032
1.71,12.71,46.91,0.52,3.92,0.0032
1.73,12.71,46.91,0.52,3.92,0.0032
1.76,12.71,46.91,0.52,3.92,0.0032
1.78,12.71,46.91,0.52,3.92,0.0032
1.80,12.71,46.91,0.52,3.92,0.0032
1.82,12.71,46.91,0.52,3.92,0.0032
1.85,12.71,46.91,0.52,3.92,0.0032
1.87,12.71,46.91,0.52,3.92,0.0032
1.89,12.71,46.91,0.52,3.92,0.0032
1.91,12.71,46.91,0.52,3.92,0.0032
1.94,12.71,46.91,0.52,3.92,0.0032
1.96,12.71,46.91,0.52,3.92,0.0032
1.98,12.71,46.91,0.52,3.92,0.0032
2.00,12.71,46.91,0.52,3.92,0.0032
2.03,12.71,46.91,0.52,3.92,0.0032
2.05,12.71,46.91,0.52,3.92,0.0032
2.07,12.71,46.91,0.43,3.92,0.0032
2.09,18.74,65.12,0.43,3.68,0.0025
2.12,18.74,65.12,0.43,3.68,0.0025
2.14,18.74,65.12,0.43,3.68,0.0025
2.16,18.74,65.12,0.43,3.68,0.0025
2.18,18.74,65.12,0.43,3.68,0.0025
2.20,18.74,65.12,0.43,3.68,0.0025
2.22,18.74,65.12,0.43,3.68,0.0025
2.24,18.74,65.12,0.43,3.68,0.0025
2.26,18.74,65.12,0.43,3.68,0.0025
