Timestamp(ms),Elapsed(s),Phase,FPS,RTT(ms),MTP(ms),Jitter(ms),Loss(%),LoadRatio,CPU_Load(ms),Reward_Inst,Reward_Cum
11011,0.020,,120.00,2.0,3.2,0.0,0.00,0.200,0.0,0.0000,0.0000
12472,0.040,Chaos: local=26ms rtt=18ms,114.12,2.1,4.5,0.7,0.00,0.200,3.1,0.0000,0.0000
12544,0.112,Chaos: local=26ms rtt=18ms,108.71,2.3,4.8,0.8,0.00,0.200,3.5,0.0000,0.0000
12608,0.176,Chaos: local=26ms rtt=18ms,91.12,2.9,5.1,0.6,0.00,0.200,3.4,0.0000,0.0000
12666,0.234,Chaos: local=26ms rtt=18ms,87.29,3.2,5.5,0.7,0.00,0.200,3.8,0.0000,0.0000
12730,0.298,Chaos: local=26ms rtt=18ms,85.99,3.5,5.9,1.0,0.01,0.200,3.5,0.0000,0.0000
12781,0.349,Chaos: local=26ms rtt=18ms,84.56,3.8,6.3,1.2,0.01,0.200,3.8,0.0000,0.0000
12832,0.400,Chaos: local=26ms rtt=18ms,84.21,4.0,6.2,0.9,0.01,0.200,3.6,0.0000,0.0000
12894,0.462,Chaos: local=26ms rtt=18ms,83.05,4.3,6.3,0.6,0.01,0.200,4.0,0.0000,0.0000
12950,0.518,Chaos: local=26ms rtt=18ms,81.09,4.6,6.7,0.6,0.02,0.200,4.4,0.0000,0.0000
13005,0.573,Chaos: local=26ms rtt=18ms,80.32,5.0,7.1,0.8,0.02,0.200,4.3,0.0000,0.0000
13058,0.626,Chaos: local=26ms rtt=18ms,79.97,5.3,7.2,0.7,0.02,0.200,4.0,0.0000,0.0000
13113,0.681,Chaos: local=26ms rtt=18ms,79.69,5.6,7.4,0.5,0.02,0.200,4.8,0.0000,0.0000
13167,0.735,Chaos: local=26ms rtt=18ms,79.61,6.0,7.6,0.4,0.02,0.200,4.1,0.0000,0.0000
13223,0.791,Chaos: local=26ms rtt=18ms,78.80,6.3,8.1,0.6,0.02,0.200,4.7,0.0000,0.0000
13301,0.869,Chaos: local=26ms rtt=18ms,113.64,7.2,8.8,0.7,0.00,0.200,4.6,0.0000,0.0000
13377,0.945,Chaos: local=5ms rtt=14ms,88.28,7.7,9.0,0.5,0.03,0.200,4.4,0.0000,0.0000
13431,0.999,Chaos: local=5ms rtt=14ms,81.51,8.0,9.4,0.5,0.04,0.200,5.0,0.0000,0.0000
13495,1.063,Chaos: local=5ms rtt=14ms,78.52,8.3,10.0,0.8,0.04,0.200,5.3,0.0000,0.0000
13554,1.122,Chaos: local=5ms rtt=14ms,77.04,8.6,10.4,1.2,0.05,0.200,5.0,0.0000,0.0000
13604,1.172,Chaos: local=5ms rtt=14ms,76.53,8.9,10.5,1.1,0.05,0.200,4.8,0.0000,0.0000
13670,1.238,Chaos: local=5ms rtt=14ms,75.64,9.2,10.5,0.7,0.06,0.200,4.7,0.0000,0.0000
13726,1.294,Chaos: local=5ms rtt=14ms,75.69,9.5,10.5,0.4,0.07,0.200,4.8,0.0000,0.0000
13778,1.346,Chaos: local=5ms rtt=14ms,75.47,9.8,10.6,0.2,0.07,0.200,5.2,0.0000,0.0000
13855,1.423,Chaos: local=5ms rtt=14ms,75.78,10.1,11.1,0.6,0.08,0.200,4.8,0.0000,0.0000
13914,1.482,Chaos: local=5ms rtt=14ms,75.31,10.4,11.7,1.0,0.08,0.200,5.0,0.0000,0.0000
13975,1.543,Chaos: local=5ms rtt=14ms,74.88,10.7,12.2,1.2,0.09,0.200,5.3,0.0000,0.0000
14029,1.597,Chaos: local=5ms rtt=14ms,75.64,10.9,12.0,0.9,0.09,0.201,4.5,0.0000,0.0000
14087,1.655,Chaos: local=5ms rtt=14ms,75.24,11.1,12.0,0.6,0.10,0.201,5.1,0.0000,0.0000
14149,1.717,Chaos: local=5ms rtt=14ms,75.92,11.4,12.0,0.4,0.10,0.201,4.9,0.0000,0.0000
14224,1.792,Chaos: local=5ms rtt=14ms,76.35,11.6,12.3,0.6,0.10,0.201,5.0,0.0000,0.0000
