Timestamp(ms),Elapsed(s),Phase,FPS,RTT(ms),MTP(ms),Jitter(ms),Loss(%),LoadRatio,CPU_Load(ms),Reward_Inst,Reward_Cum
16275,0.020,,120.00,2.0,2.7,0.0,0.00,0.321,0.0,0.8681,0.8681
17856,0.040,Chaos: local=84ms rtt=3ms,112.91,2.1,4.4,0.7,0.00,0.583,4.0,0.7129,1.5810
17970,0.155,Chaos: local=84ms rtt=3ms,104.39,2.2,5.7,0.8,0.01,0.372,6.8,0.7477,5.0663
18031,0.215,Chaos: local=84ms rtt=3ms,76.45,2.9,5.9,0.6,0.14,0.460,6.4,0.5262,6.6830
18091,0.275,Chaos: local=84ms rtt=3ms,74.28,3.0,5.7,0.9,0.22,0.385,5.2,0.5324,8.3222
18170,0.354,Chaos: local=84ms rtt=3ms,70.64,3.2,6.6,1.2,0.30,0.422,6.8,0.5053,10.4179
18227,0.411,Chaos: local=84ms rtt=3ms,67.01,3.3,6.3,0.9,0.39,0.331,6.5,0.5068,11.9202
18292,0.476,Chaos: local=84ms rtt=3ms,68.09,3.4,5.8,0.6,0.50,0.190,5.2,0.5193,13.4678
18344,0.528,Chaos: local=84ms rtt=3ms,69.45,3.4,6.1,0.7,0.57,0.292,6.1,0.5246,15.0464
18410,0.594,Chaos: local=84ms rtt=3ms,66.81,3.5,6.5,0.8,0.65,0.172,7.5,0.5144,16.6125
18471,0.656,Chaos: local=84ms rtt=3ms,66.75,3.5,6.1,0.7,0.71,0.289,6.0,0.5030,18.1336
18526,0.711,Chaos: local=84ms rtt=3ms,64.14,3.6,7.5,0.4,0.78,0.276,11.4,0.4916,19.5816
18581,0.765,Chaos: local=84ms rtt=3ms,60.98,3.6,6.7,0.5,0.84,0.270,8.2,0.4730,21.0125
18631,0.816,Chaos: local=84ms rtt=3ms,59.58,3.6,7.1,0.7,0.88,0.259,9.4,0.4678,21.9557
18686,0.870,Chaos: local=84ms rtt=3ms,58.32,3.6,6.9,0.7,0.94,0.207,9.3,0.4654,23.3508
