Timestamp(ms),Elapsed(s),Phase,FPS,RTT(ms),MTP(ms),Jitter(ms),Loss(%),LoadRatio,CPU_Load(ms),Reward_Inst,Reward_Cum
16007,0.000,,120.00,2.0,2.7,0.0,0.00,0.321,0.0,0.8681,0.8681
17964,0.020,P1: 天堂,113.27,2.1,4.2,0.7,0.00,0.572,3.7,0.7215,1.5896
18099,0.040,P1: 天堂,104.78,2.2,5.6,0.8,0.00,0.322,6.7,0.7696,5.8868
18163,0.222,P1: 天堂,80.83,3.0,5.1,0.7,0.00,0.402,4.2,0.5828,7.6241
18237,0.288,P1: 天堂,80.90,3.1,5.4,1.1,0.00,0.354,3.8,0.5968,9.9787
18311,0.362,P1: 天堂,80.65,3.3,5.6,1.1,0.00,0.249,3.6,0.6125,12.3206
18375,0.428,P1: 天堂,81.02,3.4,5.4,0.7,0.00,0.274,3.6,0.6126,14.1636
18442,0.494,P1: 天堂,81.65,3.5,5.5,0.6,0.00,0.224,3.8,0.6224,16.0092
18500,0.557,P1: 天堂,81.93,3.5,5.7,0.8,0.00,0.232,3.5,0.6295,17.8955
18566,0.625,P1: 天堂,82.23,3.6,5.8,0.7,0.00,0.213,3.9,0.6348,20.4297
18628,0.687,P1: 天堂,82.54,3.6,5.6,0.4,0.00,0.250,4.2,0.6310,22.3256
18679,0.739,P1: 天堂,82.02,3.6,5.5,0.5,0.00,0.286,3.7,0.6207,23.5635
18735,0.793,P1: 天堂,82.05,3.7,5.5,0.7,0.00,0.267,3.3,0.6204,25.4345
18796,0.853,P1: 天堂,81.88,3.7,5.9,0.7,0.00,0.198,3.9,0.6297,27.3161
18850,0.909,P1: 天堂,82.72,3.7,5.6,0.5,0.00,0.243,3.8,0.6337,29.2158
18920,0.976,P1: 天堂,81.91,3.7,5.3,0.5,0.00,0.332,3.5,0.6064,31.0588
18980,1.040,P1: 天堂,81.63,3.7,5.5,0.8,0.00,0.316,3.2,0.6034,32.8909
19030,1.090,P1: 天堂,81.13,3.7,6.1,1.1,0.00,0.258,3.9,0.6213,34.7450
19086,1.146,P1: 天堂,81.50,3.7,5.9,1.1,0.00,0.266,3.3,0.6209,36.6032
19144,1.191,P1: 天堂,83.04,3.7,5.8,0.9,0.00,0.252,3.3,0.6300,38.4793
19197,1.258,P1: 天堂,82.61,3.7,5.4,0.5,0.00,0.290,3.2,0.6171,39.7261
19255,1.312,P1: 天堂,80.30,3.7,5.6,0.2,0.00,0.369,5.1,0.5861,41.5416
19322,1.370,P1: 天堂,80.67,3.7,5.6,0.4,0.00,0.216,3.8,0.6206,43.3783
19388,1.440,P1: 天堂,80.89,3.7,6.0,0.8,0.00,0.279,4.7,0.6135,45.8472
19443,1.500,P1: 天堂,79.65,3.7,6.2,1.2,0.00,0.332,4.8,0.5994,47.0498
19506,1.561,P1: 天堂,77.05,3.7,6.4,1.1,0.00,0.325,5.7,0.5732,49.3300
19569,1.620,P1: 天堂,77.58,3.7,5.9,0.7,0.00,0.248,4.6,0.5957,51.0880
19633,1.689,P1: 天堂,79.73,3.7,5.4,0.4,0.00,0.280,3.6,0.6035,52.9017
19687,1.746,P1: 天堂,79.94,3.7,5.7,0.5,0.00,0.275,4.2,0.6067,54.7132
19745,1.800,P1: 天堂,80.51,3.7,5.9,0.7,0.00,0.244,4.3,0.6178,56.5621
19805,1.862,P1: 天堂,82.44,3.7,5.6,0.8,0.00,0.264,3.2,0.6267,58.4331
19880,1.930,P1: 天堂,81.59,3.7,6.0,1.0,0.00,0.284,4.4,0.6197,60.3068
19952,2.006,P1: 天堂,81.32,3.7,5.9,0.8,0.00,0.201,3.6,0.6217,62.7670
20005,2.048,P1: 天堂,82.14,3.7,5.6,0.5,0.00,0.241,3.4,0.6298,64.6483
20060,2.110,P1: 天堂,81.76,3.7,5.3,0.2,0.00,0.320,4.1,0.6094,65.8771
20136,2.184,P1: 天堂,82.70,3.7,5.6,0.5,0.00,0.250,3.6,0.6326,68.3810
20191,2.242,P1: 天堂,82.78,3.7,5.8,0.8,0.00,0.271,4.0,0.6297,70.2715
20253,2.312,P1: 天堂,79.82,3.7,6.0,1.0,0.00,0.318,4.6,0.5990,72.0768
20309,2.369,P1: 天堂,80.24,3.7,5.8,0.8,0.00,0.226,3.6,0.6135,73.8875
20391,2.427,P1: 天堂,81.30,3.7,5.9,0.7,0.00,0.224,4.1,0.6272,76.3908
20464,2.501,P1: 天堂,83.92,3.7,5.8,0.7,0.00,0.194,3.1,0.6395,78.9219
20520,2.541,P1: 天堂,85.27,3.8,5.8,0.7,0.00,0.187,3.0,0.6478,80.2101
20572,2.627,P1: 天堂,85.03,3.8,5.7,0.7,0.00,0.231,3.1,0.6496,82.1570
20632,2.688,P1: 天堂,84.86,3.8,5.8,0.7,0.00,0.200,3.2,0.6524,84.0965
20686,2.744,P1: 天堂,84.85,3.8,6.0,0.7,0.00,0.173,3.9,0.6491,86.0583
20744,2.800,P1: 天堂,85.36,3.8,5.6,0.7,0.00,0.237,2.9,0.6471,88.0019
20805,2.856,P1: 天堂,86.21,3.8,5.8,0.7,0.00,0.193,3.0,0.6578,89.9610
20871,2.926,P1: 天堂,85.28,3.8,5.6,0.4,0.00,0.243,3.7,0.6519,91.9202
20925,2.981,P1: 天堂,83.46,3.8,5.7,0.5,0.00,0.291,4.1,0.6288,93.8129
20991,3.050,P1: 天堂,82.12,3.8,6.0,0.8,0.00,0.209,4.0,0.6315,95.7010
21059,3.113,P1: 天堂,83.40,3.8,5.7,0.7,0.00,0.225,3.1,0.6405,97.6093
21116,3.173,P1: 天堂,83.62,3.8,5.4,0.5,0.00,0.269,3.0,0.6305,99.5132
21180,3.239,P1: 天堂,83.51,3.8,5.8,0.8,0.00,0.237,3.2,0.6376,101.4240
21240,3.298,P1: 天堂,83.12,3.8,6.0,1.2,0.00,0.261,3.2,0.6331,103.3245
21300,3.357,P1: 天堂,83.07,3.8,6.0,1.1,0.00,0.231,3.3,0.6383,105.2307
21363,3.412,P1: 天堂,82.67,3.8,5.9,0.7,0.00,0.203,3.5,0.6386,107.1379
21427,3.481,P1: 天堂,82.40,3.8,5.4,0.3,0.00,0.303,3.9,0.6193,109.6448
21480,3.540,P1: 天堂,80.94,3.8,5.3,0.2,0.00,0.336,3.9,0.6029,110.8568
21534,3.594,P1: 天堂,81.11,3.7,5.7,0.6,0.00,0.234,3.7,0.6231,112.7100
21592,3.649,P1: 天堂,81.37,3.7,5.6,0.9,0.00,0.316,3.6,0.6064,114.5540
21653,3.709,P1: 天堂,80.80,3.7,5.9,1.2,0.00,0.340,4.0,0.5986,116.3686
21710,3.768,P1: 天堂,79.12,3.7,6.1,1.0,0.00,0.318,4.6,0.5935,118.1499
21766,3.825,P1: 天堂,79.57,3.7,5.5,0.7,0.00,0.275,3.3,0.6024,119.9347
21821,3.880,P1: 天堂,80.66,3.7,5.5,0.4,0.00,0.244,3.6,0.6152,121.1621
21878,3.933,P1: 天堂,80.99,3.7,5.4,0.5,0.00,0.302,3.6,0.6088,122.9949
21929,3.990,P1: 天堂,81.81,3.7,5.7,0.7,0.00,0.247,3.7,0.6268,124.8595
21984,4.041,P1: 天堂,82.81,3.7,5.8,0.7,0.00,0.230,3.6,0.6367,126.7574
22040,4.098,P1: 天堂,82.97,3.7,6.0,0.7,0.00,0.194,4.2,0.6363,128.0351
22105,4.166,P1: 天堂,84.82,3.8,5.7,0.7,0.00,0.215,3.0,0.6517,130.6210
22156,4.215,P1: 天堂,83.94,3.8,5.9,0.7,0.00,0.191,3.7,0.6454,131.9090
22221,4.281,P1: 天堂,84.81,3.8,5.7,0.6,0.00,0.241,3.5,0.6434,133.8442
22283,4.344,P1: 天堂,83.90,3.8,5.6,0.4,0.00,0.304,4.3,0.6314,135.7601
22334,4.393,P1: 天堂,82.42,3.8,5.9,0.6,0.00,0.246,4.6,0.6265,137.6416
22398,4.458,P1: 天堂,82.67,3.8,5.9,0.9,0.00,0.238,3.4,0.6343,139.5370
22449,4.508,P1: 天堂,82.14,3.8,6.1,1.0,0.00,0.227,3.9,0.6311,141.4326
22512,4.574,P1: 天堂,83.51,3.8,6.0,0.8,0.00,0.187,3.5,0.6396,143.3502
22576,4.638,P1: 天堂,83.96,3.8,5.8,0.7,0.00,0.214,3.5,0.6435,145.2781
22640,4.701,P1: 天堂,84.23,3.8,6.1,0.9,0.00,0.200,4.0,0.6533,147.2213
22704,4.764,P1: 天堂,84.58,3.8,6.1,0.9,0.00,0.193,3.6,0.6516,149.8217
22766,4.828,P1: 天堂,85.11,3.8,5.5,0.7,0.00,0.254,2.9,0.6395,151.7563
22830,4.888,P1: 天堂,83.69,3.8,5.7,0.4,0.00,0.262,4.3,0.6375,153.6864
22895,4.955,P1: 天堂,82.30,3.8,5.7,0.6,0.00,0.218,3.6,0.6328,155.5733
22961,5.021,P1: 天堂,82.70,3.8,5.8,0.7,0.00,0.218,3.6,0.6355,157.4818
23028,5.087,P1: 天堂,83.03,3.8,6.1,0.8,0.00,0.193,3.8,0.6403,160.0372
