Timestamp(ms),Elapsed(s),IsURSActive,FPS,RTT(ms),MTP(ms),Jitter(ms),Loss(%),LocalLag(ms),LocalRatio,EdgeRatio,Reward,Phase,SyncRTT,SyncLag,CubeCount,ParticleRate,Temperature(C)
63912202741363,0.000,1,60.00,5.0,11.4,0.00,0.000,15.72,0.500,0.500,0.0000,P1: Baseline (No Stress),0,0,0,0,33.5
63912202742170,0.000,1,60.00,5.0,11.0,0.20,0.000,14.84,0.500,0.500,0.0000,P1: Baseline (No Stress),0,0,15,250,33.5
63912202742279,0.020,1,60.00,5.0,12.0,0.20,0.000,16.11,0.536,0.464,0.4152,P1: Baseline (No Stress),0,0,15,250,33.5
63912202742374,0.126,1,60.00,5.0,10.2,0.27,0.000,13.85,0.451,0.549,0.9213,P1: Baseline (No Stress),0,0,16,232,33.5
63912202742467,0.219,1,60.00,5.0,13.9,0.91,0.000,17.65,0.615,0.385,1.3279,P1: Baseline (No Stress),0,0,14,274,33.5
63912202742575,0.315,1,60.00,5.0,10.9,1.13,0.000,14.24,0.451,0.549,1.8091,P1: Baseline (No Stress),0,0,18,192,33.5
63912202742614,0.414,1,60.00,5.0,10.0,0.57,0.000,13.47,0.416,0.584,2.3151,P1: Baseline (No Stress),0,0,14,275,33.5
63912202742655,0.461,1,60.00,5.0,10.0,0.52,0.000,13.48,0.416,0.584,2.3186,P1: Baseline (No Stress),0,0,12,292,33.5
63912202742696,0.502,1,60.00,5.0,9.9,0.68,0.000,12.92,0.416,0.584,2.3186,P1: Baseline (No Stress),0,0,12,292,33.5
63912202742767,0.532,1,60.00,5.0,8.1,0.70,0.000,8.97,0.276,0.724,2.8487,P1: Baseline (No Stress),0,0,12,292,33.5
63912202742795,0.604,1,55.97,5.0,8.1,0.75,0.000,9.01,0.276,0.724,2.8245,P1: Baseline (No Stress),0,0,8,362,33.5
63912202742875,0.633,1,49.93,4.2,11.9,0.97,0.000,16.10,0.527,0.473,3.2167,P1: Baseline (No Stress),0,0,8,362,33.5
