Timestamp(ms),Elapsed(s),IsURSActive,FPS,RTT(ms),MTP(ms),Jitter(ms),Loss(%),LocalLag(ms),LocalRatio,EdgeRatio,Reward,Phase,SyncRTT,SyncLag,CubeCount,ParticleRate,Temperature(C)
63912207816952,0.000,1,60.00,5.0,7.1,0.00,0.000,7.48,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,0,0,39.5
63912207817474,0.000,1,60.00,5.0,7.9,0.97,0.000,7.51,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207817506,0.020,1,60.00,5.0,7.8,0.97,0.000,7.07,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207817557,0.069,1,60.00,5.0,7.9,1.09,0.000,7.11,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207817606,0.117,1,60.00,5.0,8.0,1.19,0.000,7.30,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207817631,0.145,1,60.00,5.0,7.9,0.93,0.000,7.57,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207817655,0.168,1,60.00,5.0,7.7,0.75,0.000,7.51,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207817674,0.189,1,60.00,5.0,7.5,0.63,0.000,7.10,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207817693,0.208,1,60.00,5.0,7.5,0.51,0.000,7.36,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207817711,0.226,1,60.00,5.0,7.3,0.38,0.000,7.24,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207817733,0.247,1,60.00,5.0,7.2,0.27,0.000,7.13,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207817751,0.266,1,60.00,5.0,7.2,0.20,0.000,7.08,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207817771,0.286,1,60.00,5.0,7.2,0.20,0.000,7.25,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207817797,0.313,1,60.00,5.0,7.2,0.27,0.000,7.08,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207817816,0.330,1,60.00,5.0,7.4,0.44,0.000,7.48,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207817841,0.355,1,60.00,5.0,7.5,0.56,0.000,7.35,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207817870,0.383,1,60.00,5.0,7.6,0.70,0.000,7.27,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207817897,0.411,1,60.00,5.0,7.8,0.85,0.000,7.43,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207817926,0.438,1,60.00,5.0,7.9,1.04,0.000,7.49,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207817952,0.467,1,60.00,5.0,8.0,1.18,0.000,7.17,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207817970,0.485,1,60.00,5.0,8.0,1.19,0.000,7.45,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207817993,0.508,1,60.00,5.0,8.0,1.13,0.000,7.28,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818011,0.526,1,60.00,5.0,7.8,0.99,0.000,7.27,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818036,0.550,1,57.67,5.0,7.8,0.87,0.000,7.34,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818054,0.569,1,55.08,4.8,7.5,0.73,0.000,7.33,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818077,0.592,1,53.49,4.7,7.3,0.63,0.000,7.13,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818095,0.610,1,51.91,4.5,7.1,0.52,0.000,7.29,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818128,0.642,1,50.89,4.4,6.9,0.46,0.000,7.04,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818147,0.662,1,49.47,4.3,6.8,0.42,0.000,7.06,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818174,0.689,1,48.81,4.2,6.7,0.46,0.000,7.15,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818192,0.707,1,48.07,4.0,6.7,0.56,0.000,7.07,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818217,0.731,1,47.70,4.0,6.8,0.62,0.000,7.54,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818235,0.750,1,47.28,3.9,6.8,0.68,0.000,7.53,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818257,0.772,1,47.02,3.8,6.6,0.70,0.000,7.14,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818275,0.791,1,46.76,3.7,6.6,0.70,0.000,7.23,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818299,0.814,1,46.59,3.7,6.6,0.73,0.000,7.06,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818317,0.832,1,46.42,3.6,6.7,0.81,0.000,7.51,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818343,0.857,1,46.31,3.6,6.6,0.88,0.000,7.38,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818359,0.875,1,46.19,3.5,6.6,0.95,0.000,7.29,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818384,0.898,1,46.12,3.5,6.6,0.97,0.000,7.15,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818402,0.917,1,46.04,3.5,6.6,0.95,0.000,7.25,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818425,0.940,1,45.99,3.4,6.5,0.88,0.000,7.40,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818443,0.958,1,45.94,3.4,6.4,0.78,0.000,7.58,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818466,0.981,1,45.91,3.4,6.3,0.69,0.000,7.23,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818485,0.999,1,45.88,3.3,6.2,0.55,0.000,7.55,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818508,1.023,1,45.86,3.3,6.0,0.44,0.000,7.14,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818526,1.041,1,45.84,3.3,5.9,0.28,0.000,7.39,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818550,1.065,1,45.82,3.3,5.8,0.21,0.000,7.11,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818568,1.083,1,46.34,3.2,5.8,0.20,0.000,7.30,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818593,1.107,1,46.65,4.4,6.7,0.26,0.000,7.07,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818611,1.126,1,46.98,5.8,8.0,0.40,0.000,7.08,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818633,1.148,1,47.19,6.8,8.9,0.53,0.000,7.12,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818651,1.166,1,47.40,8.0,10.0,0.66,0.000,7.22,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818676,1.190,1,47.53,8.8,10.7,0.75,0.000,7.49,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818694,1.209,1,47.68,9.8,11.6,0.87,0.000,7.20,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818717,1.232,1,47.77,10.6,12.2,0.93,0.000,7.13,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818735,1.249,1,47.86,11.4,13.0,0.97,0.000,7.45,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818759,1.274,1,47.92,12.0,13.4,0.96,0.000,7.01,0.200,0.800,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818777,1.292,1,47.98,12.7,14.0,0.90,0.000,7.38,0.202,0.798,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818802,1.316,1,48.02,13.2,14.3,0.83,0.000,7.07,0.202,0.798,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818819,1.335,1,48.06,13.9,14.7,0.74,0.000,7.40,0.202,0.798,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818844,1.358,1,48.09,14.3,15.0,0.71,0.000,7.31,0.202,0.798,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818862,1.377,1,48.12,14.8,15.4,0.70,0.000,7.14,0.202,0.798,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818884,1.399,1,48.13,15.2,15.8,0.70,0.000,7.39,0.202,0.798,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818902,1.417,1,48.15,15.6,16.0,0.70,0.000,7.15,0.202,0.798,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818926,1.441,1,48.16,15.9,16.4,0.70,0.000,7.50,0.202,0.798,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818945,1.459,1,48.17,16.3,16.6,0.70,0.000,7.12,0.202,0.798,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818968,1.483,1,48.18,16.5,16.8,0.70,0.000,7.39,0.202,0.798,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207818987,1.501,1,48.19,16.8,17.1,0.70,0.000,7.58,0.202,0.798,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819010,1.525,1,48.19,17.1,17.2,0.70,0.000,7.18,0.202,0.798,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819028,1.543,1,48.20,17.3,17.4,0.70,0.000,7.21,0.202,0.798,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819052,1.567,1,48.20,17.5,17.6,0.70,0.000,7.46,0.202,0.798,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819070,1.585,1,48.20,17.7,17.8,0.70,0.000,7.51,0.202,0.798,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819094,1.608,1,48.23,17.9,17.9,0.70,0.000,7.66,0.205,0.795,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819112,1.627,1,48.25,18.1,18.0,0.70,0.000,7.23,0.205,0.795,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819136,1.650,1,48.27,18.2,18.2,0.70,0.000,7.69,0.205,0.795,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819154,1.668,1,48.28,18.2,18.2,0.70,0.000,7.52,0.205,0.795,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819177,1.692,1,48.29,18.3,18.2,0.70,0.000,7.57,0.205,0.795,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819196,1.710,1,48.30,18.3,18.2,0.70,0.000,7.38,0.205,0.795,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819219,1.734,1,48.31,18.4,18.3,0.70,0.000,7.31,0.205,0.795,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819237,1.751,1,48.32,18.4,18.3,0.70,0.000,7.39,0.205,0.795,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819260,1.775,1,48.32,18.5,18.3,0.70,0.000,7.19,0.205,0.795,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819279,1.794,1,48.33,18.5,18.4,0.69,0.000,7.57,0.205,0.795,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819304,1.817,1,48.33,18.6,18.4,0.66,0.000,7.69,0.205,0.795,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819330,1.845,1,48.33,18.6,18.3,0.57,0.000,7.17,0.205,0.795,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819349,1.863,1,48.33,18.6,18.3,0.47,0.000,7.19,0.205,0.795,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819378,1.887,1,48.34,18.7,18.3,0.43,0.000,7.59,0.205,0.795,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819400,1.915,1,48.34,18.7,18.3,0.43,0.000,7.69,0.210,0.790,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819426,1.940,1,48.34,18.7,18.3,0.50,0.000,7.49,0.210,0.790,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819456,1.968,1,48.34,18.8,18.5,0.62,0.000,7.58,0.210,0.790,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819480,1.995,1,48.34,18.8,18.6,0.76,0.000,7.45,0.210,0.790,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819508,2.023,1,48.34,18.8,18.7,0.84,0.000,7.74,0.210,0.790,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819536,2.051,1,48.34,18.8,18.7,0.82,0.000,7.64,0.210,0.790,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819565,2.080,1,48.34,18.8,18.6,0.72,0.000,7.42,0.210,0.790,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819593,2.108,1,48.34,18.9,18.5,0.60,0.000,7.42,0.210,0.790,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819622,2.136,1,48.34,18.9,18.6,0.55,0.000,7.79,0.210,0.790,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819651,2.165,1,47.23,18.9,18.5,0.61,0.000,7.26,0.210,0.790,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819677,2.194,1,46.37,17.1,17.3,0.75,0.000,7.79,0.210,0.790,0.0000,P1: Baseline (No Stress),0,0,6,400,39.7
63912207819749,2.264,1,45.72,15.4,16.1,0.92,0.000,7.71,0.213,0.787,0.0000,P1: Baseline (No Stress),0,0,6,394,39.7
63912207819776,2.293,1,44.74,12.1,13.7,1.20,0.000,7.78,0.213,0.787,0.0000,P1: Baseline (No Stress),0,0,6,394,39.7
63912207819809,2.325,1,44.50,11.0,12.7,1.08,0.000,7.59,0.213,0.787,0.0000,P1: Baseline (No Stress),0,0,6,394,39.7
63912207819843,2.359,1,44.30,9.9,11.7,0.87,0.000,7.52,0.213,0.787,0.0000,P1: Baseline (No Stress),0,0,6,394,39.7
63912207819876,2.392,1,44.15,8.9,10.8,0.68,0.000,7.55,0.213,0.787,0.0000,P1: Baseline (No Stress),0,0,6,394,39.7
63912207819907,2.423,1,44.05,8.1,9.9,0.48,0.000,7.60,0.213,0.787,0.0000,P1: Baseline (No Stress),0,0,6,394,39.7
63912207819937,2.453,1,43.98,7.4,9.2,0.28,0.000,7.72,0.213,0.787,0.0000,P1: Baseline (No Stress),0,0,6,394,39.7
63912207819966,2.482,1,43.93,6.8,8.7,0.19,0.000,7.58,0.213,0.787,0.0000,P1: Baseline (No Stress),0,0,6,394,39.7
63912207819995,2.511,1,43.89,6.2,8.3,0.25,0.000,7.56,0.213,0.787,0.0000,P1: Baseline (No Stress),0,0,6,394,39.7
63912207820024,2.539,1,43.86,5.8,8.1,0.43,0.000,7.93,0.212,0.788,0.0000,P1: Baseline (No Stress),0,0,6,394,39.7
63912207820052,2.568,1,43.84,5.4,7.9,0.61,0.000,7.41,0.212,0.788,0.0000,P1: Baseline (No Stress),0,0,6,394,39.7
63912207820081,2.597,1,43.83,5.0,7.8,0.76,0.000,7.82,0.212,0.788,0.0000,P1: Baseline (No Stress),0,0,6,394,39.7
63912207820108,2.625,1,43.82,4.7,7.6,0.94,0.000,7.43,0.212,0.788,0.0000,P1: Baseline (No Stress),0,0,6,394,39.7
63912207820137,2.652,1,43.81,4.4,7.5,1.12,0.000,7.47,0.212,0.788,0.0000,P1: Baseline (No Stress),0,0,6,394,39.7
63912207820164,2.680,1,43.80,4.1,7.4,1.20,0.000,7.47,0.212,0.788,0.0000,P1: Baseline (No Stress),0,0,6,394,39.7
63912207820192,2.708,1,41.16,3.9,7.2,1.15,0.000,7.78,0.212,0.788,0.0000,P1: Baseline (No Stress),0,0,6,394,39.7
