Wall time,Step,Value
1770649396.8679774,50000,-1838.2296142578125
1770649953.2060513,100000,-1642.923095703125
1770650520.53399,150000,-1486.805419921875
1770651094.6078446,200000,-1257.3450927734375
1770651690.2578914,250000,-1026.3846435546875
1770652293.9688907,300000,-806.8475341796875
1770652922.0367792,350000,-629.1670532226562
1770653549.5010412,400000,-452.3529968261719
1770654179.010868,450000,-324.47515869140625
1770654844.8791978,500000,-214.0423126220703
1770655553.095632,550000,-138.71376037597656
1770656272.5486634,600000,-70.30475616455078
1770656999.9189074,650000,-9.79988956451416
1770657741.827379,700000,34.408653259277344
1770658486.3607852,750000,59.8912239074707
1770659238.0498831,800000,85.8673095703125
1770660006.239839,850000,107.244140625
1770660774.3019183,900000,121.84254455566406
1770661561.8492024,950000,130.2186279296875
1770662346.1869268,1000000,134.7001190185547
1770663139.6051862,1050000,137.70164489746094
1770663936.839844,1100000,141.30056762695312
1770664748.406357,1150000,143.4407958984375
1770665550.7017918,1200000,145.08773803710938
1770666360.989929,1250000,145.98159790039062
1770667182.0801148,1300000,146.904052734375
1770667999.4784832,1350000,147.769775390625
1770668825.018982,1400000,148.10931396484375
1770669645.504079,1450000,148.01661682128906
1770670470.6364474,1500000,148.23934936523438
1770671298.8081372,1550000,148.83297729492188
1770672121.6417441,1600000,148.66473388671875
1770672947.6218572,1650000,148.6979217529297
1770673772.076528,1700000,148.9571533203125
1770674605.6156118,1750000,149.17059326171875
1770675426.395846,1800000,149.04054260253906
1770676258.5485654,1850000,149.2896728515625
1770677084.1053727,1900000,149.30868530273438
1770677915.9997818,1950000,149.3895721435547
1770678741.8855085,2000000,149.4491424560547
1770679567.45253,2050000,149.62405395507812
1770680397.102126,2100000,149.64817810058594
1770681227.0378375,2150000,149.4885711669922
