Wall time,Step,Value
1771854904.8091893,40000,1857.2689208984375
1771854973.8621683,60000,2206.277587890625
1771855036.2951612,80000,2578.000732421875
1771855098.8274496,100000,2788.54931640625
1771855159.938929,120000,2989.358154296875
1771855222.3808253,140000,3380.130126953125
1771855284.2207232,160000,3453.582763671875
1771855345.9039383,180000,3537.35205078125
1771855406.3973625,200000,3751.826904296875
1771855469.3470085,220000,3741.41259765625
1771855536.8660834,240000,4169.03662109375
1771855606.714018,260000,4209.93603515625
1771855687.5176897,280000,4389.0625
1771855772.5702703,300000,4551.57275390625
1771855837.9848099,320000,4681.18310546875
1771855903.360874,340000,4743.935546875
1771855966.1913545,360000,4851.55419921875
1771856030.8343034,380000,5059.5517578125
1771856101.1414027,400000,5208.96875
1771856171.4913788,420000,5477.7109375
1771856233.8358183,440000,5599.640625
1771856298.7908359,460000,5715.60546875
1771856360.495868,480000,6053.41943359375
1771856426.820353,500000,6150.31787109375
1771856491.2591112,520000,6292.15625
1771856553.6957579,540000,6688.44921875
1771856616.5665271,560000,6708.61767578125
1771856680.218448,580000,7222.32421875
1771856746.134787,600000,7538.880859375
1771856809.4313247,620000,7810.85693359375
1771856870.9971092,640000,7831.87744140625
1771856932.8565514,660000,8077.865234375
1771856995.0162728,680000,8560.583984375
1771857058.6764889,700000,9021.87890625
1771857120.5028372,720000,9229.6357421875
1771857181.575726,740000,9452.642578125
1771857245.3154817,760000,10115.4638671875
1771857310.561679,780000,9907.8447265625
1771857376.714883,800000,10890.236328125
1771857438.6133254,820000,11639.0263671875
1771857501.0226996,840000,11374.8154296875
1771857562.9185524,860000,11318.0732421875
1771857627.1632533,880000,12202.9296875
1771857690.4333794,900000,12102.541015625
1771857753.2446964,920000,12347.8623046875
1771857818.3655722,940000,12768.646484375
1771857942.7517846,980000,13031.4482421875
1771858004.090202,1000000,13005.6982421875
1771858065.2463043,1020000,13466.7216796875
1771858127.3055947,1040000,13295.7802734375
1771858191.5602431,1060000,13596.3515625
1771858253.4293473,1080000,13833.427734375
