Wall time,Step,Value
1771854838.412416,20000,1142.68115234375
1771854973.8651633,60000,8054.23486328125
1771855098.8310258,100000,9309.546875
1771855222.3833559,140000,10651.5263671875
1771855345.9059615,180000,11497.515625
1771855469.3506465,220000,12262.1220703125
1771855606.7170966,260000,13300.82421875
1771855772.5733004,300000,13990.49609375
1771855903.362409,340000,14505.802734375
1771856030.837845,380000,15208.6201171875
1771856171.485804,420000,15855.5703125
1771856298.7852693,460000,16558.693359375
1771856426.8147712,500000,17294.1015625
1771856553.690116,540000,18107.435546875
1771856680.2116213,580000,19055.611328125
1771856809.418936,620000,20050.306640625
1771856932.8504536,660000,20873.642578125
1771857058.6699495,700000,21754.896484375
1771857181.5693898,740000,22616.119140625
