Wall time,Step,Value
1771861474.0909648,20000,1109.6417236328125
1771861592.6972787,60000,2877.111328125
1771861706.7263987,100000,3277.341552734375
1771861820.6859834,140000,3684.6201171875
1771861932.6140974,180000,4465.5771484375
1771862048.2480297,220000,5201.93603515625
1771862159.183564,260000,5965.6767578125
1771862276.4220939,300000,6642.67626953125
1771862398.8165412,340000,7537.32666015625
1771862514.006655,380000,8238.9443359375
1771862628.059538,420000,9233.474609375
1771862744.357989,460000,9906.98046875
1771862855.835451,500000,10235.3232421875
1771862977.803685,540000,11299.6162109375
1771863110.9239247,580000,11538.3349609375
1771863231.3894348,620000,12069.3447265625
1771863356.7577302,660000,12440.7490234375
1771863473.8465605,700000,12961.5888671875
1771863593.0757048,740000,13510.0263671875
1771863717.5262349,780000,13722.056640625
1771863839.2336228,820000,14392.3427734375
1771863962.562236,860000,14949.85546875
1771864086.467102,900000,15269.2099609375
1771864207.1528676,940000,15561.02734375
1771864323.4401941,980000,15868.6318359375
1771864439.3438246,1020000,16891.330078125
