Wall time,Step,Value
1771933287.3931112,40000,16719.287109375
1771933342.8318913,60000,11431.12890625
1771933402.9378858,80000,10895.7353515625
1771933461.4844823,100000,11034.9169921875
1771933517.84226,120000,11202.5009765625
1771933572.5897906,140000,11602.0283203125
1771933627.376362,160000,12020.9794921875
1771933679.6143541,180000,11636.8046875
1771933732.9145348,200000,12094.9189453125
1771933785.7023792,220000,12214.048828125
1771933837.8142757,240000,12591.2109375
1771933890.7869635,260000,13327.2919921875
1771933943.0942717,280000,12919.3330078125
1771933996.108,300000,12029.49609375
1771934048.5704873,320000,12482.2001953125
1771934100.4381046,340000,12589.0234375
1771934151.7255068,360000,13223.19140625
1771934202.5459635,380000,13363.65234375
1771934254.0239794,400000,13530.37890625
1771934306.859769,420000,13364.79296875
1771934359.7358932,440000,13662.33203125
1771934412.3413947,460000,13859.6748046875
1771934463.9465413,480000,14004.2607421875
1771934515.2743652,500000,13935.533203125
1771934567.1187127,520000,13793.53515625
1771934618.3455925,540000,13732.146484375
1771934669.0401082,560000,14408.533203125
1771934720.7440367,580000,13711.76953125
1771934773.383636,600000,14336.5986328125
1771934826.031613,620000,14976.2294921875
1771934877.364626,640000,14789.798828125
1771934929.825764,660000,14930.8876953125
1771934981.840791,680000,15092.1357421875
1771935034.7597003,700000,15340.3759765625
1771935087.1847668,720000,15443.96484375
1771935140.316152,740000,15488.7412109375
1771935191.8195653,760000,15315.3994140625
1771935243.7370968,780000,15193.8564453125
1771935295.5438058,800000,15162.880859375
1771935349.7825978,820000,15407.9228515625
1771935400.5470514,840000,15618.5048828125
1771935452.3573873,860000,16647.892578125
1771935505.4460387,880000,16485.9140625
1771935556.1530025,900000,17228.85546875
1771935607.9903238,920000,16341.7197265625
1771935659.185664,940000,16846.337890625
1771935710.7844899,960000,16921.16015625
1771935764.268237,980000,16848.81640625
1771935819.193751,1000000,16947.875
1771935870.8352878,1020000,16919.607421875
1771935921.6666286,1040000,17180.84765625
1771935972.5993526,1060000,17370.181640625
1771936023.9326098,1080000,17234.80859375
1771936076.8300743,1100000,18181.751953125
1771936128.260381,1120000,18011.931640625
1771936178.234795,1140000,18598.294921875
1771936231.656436,1160000,18430.765625
1771936282.0252926,1180000,18725.072265625
1771936338.881088,1200000,18558.77734375
1771936399.655178,1220000,18803.431640625
1771936464.878598,1240000,18615.5703125
1771936535.9345832,1260000,18504.87890625
1771936595.0808237,1280000,19665.390625
1771936657.8226533,1300000,19416.8828125
1771936718.4904535,1320000,20018.2578125
1771936778.3071866,1340000,20941.43359375
1771936842.37371,1360000,21459.837890625
1771936896.5736375,1380000,22584.51953125
1771936957.0793853,1400000,23344.9921875
1771937019.8916554,1420000,23209.62890625
1771937078.3087971,1440000,23518.58984375
