Wall time,Step,Value
1770523855.0702205,50000,-560.34326171875
1770524313.441139,100000,-575.7943725585938
1770524775.0130193,150000,-564.0262451171875
1770525236.825887,200000,-553.4774780273438
1770525709.2571468,250000,-541.03173828125
1770526180.858913,300000,-510.8790283203125
1770526658.498663,350000,-507.2610168457031
1770527133.9976716,400000,-500.7157897949219
1770527615.2224667,450000,-487.25384521484375
1770528104.8596916,500000,-478.06134033203125
1770528656.1947205,550000,-564.2631225585938
1770529214.3546727,600000,-581.3313598632812
1770529756.608307,650000,-549.2887573242188
1770530331.068103,700000,-541.3253784179688
1770530909.9340398,750000,-518.9248046875
1770531489.66973,800000,-494.0916442871094
1770532083.3131986,850000,-473.3746337890625
1770532680.3193505,900000,-451.6585998535156
1770533286.8551254,950000,-426.504150390625
1770533897.683093,1000000,-409.92144775390625
1770534533.435603,1050000,-405.3429260253906
1770535181.1369665,1100000,-389.9048767089844
1770535814.4218783,1150000,-353.7952880859375
1770536414.7917905,1200000,-327.33697509765625
1770537030.572113,1250000,-323.5069274902344
1770537660.691712,1300000,-311.2420654296875
1770538306.3791256,1350000,-307.1226501464844
1770538968.455976,1400000,-299.4101257324219
1770539636.4746125,1450000,-294.74847412109375
1770540332.185688,1500000,-286.7339172363281
1770541064.5869012,1550000,-284.5374755859375
1770541794.928372,1600000,-278.27642822265625
1770542525.8289025,1650000,-276.5715637207031
1770543276.1034346,1700000,-275.33892822265625
1770544008.5973964,1750000,-272.3261413574219
1770544737.7826798,1800000,-272.1350402832031
1770545476.760926,1850000,-272.21142578125
1770546222.3831298,1900000,-271.2567138671875
1770546973.9366086,1950000,-271.1292419433594
1770547716.0366018,2000000,-270.8170471191406
1770548456.29072,2050000,-270.6162109375
1770550424.3221564,2100000,-739.0830688476562
1770551192.1098719,2150000,-749.947265625
1770551952.4157786,2200000,-749.964599609375
1770562120.046902,2250000,-745.9208374023438
1770562893.3959794,2300000,-749.9387817382812
1770563670.4071057,2350000,-749.9282836914062
1770564432.5626798,2400000,-749.921630859375
1770565195.4883153,2450000,-749.9088134765625
1770565957.6839268,2500000,-749.8939208984375
1770566723.7592194,2550000,-749.8469848632812
1770567483.6581714,2600000,-749.7822265625
1770568246.8300383,2650000,-749.7299194335938
1770569003.7723138,2700000,-749.6409301757812
1770570123.1148229,2750000,157.35842895507812
1770570874.0248284,2800000,150.5215606689453
1770571619.5529783,2850000,150.48655700683594
1770572373.4314961,2900000,150.43885803222656
1770573125.9739747,2950000,150.42404174804688
1770573930.819995,3000000,150.29147338867188
1770574743.131065,3050000,150.3065185546875
1770575557.800725,3100000,150.2143096923828
1770576370.139328,3150000,150.12530517578125
1770577178.663789,3200000,150.10830688476562
1770577994.5638485,3250000,150.0688934326172
1770578808.454553,3300000,150.09487915039062
1770579620.0284019,3350000,150.04843139648438
1770580436.0017192,3400000,150.087890625
1770581249.848816,3450000,150.0343475341797
1770582068.3950725,3500000,150.0050811767578
1770582882.0947998,3550000,149.9790496826172
1770583694.5610049,3600000,149.9928741455078
1770584505.7782667,3650000,150.0228729248047
1770585321.4570267,3700000,149.9674835205078
1770586131.0863755,3750000,149.9697723388672
1770586941.9832366,3800000,150.0110321044922
1770587759.2844675,3850000,149.92138671875
1770588568.4944599,3900000,149.9808349609375
1770589383.7120316,3950000,150.01382446289062
1770590196.515479,4000000,150.03659057617188
