Wall time,Step,Value
1770994701.589133,50000,-4474.81201171875
1770994890.5631979,100000,-3649.87353515625
1770995063.2673087,150000,-2505.2060546875
1770995253.8342671,200000,-2149.72900390625
1770995439.8429503,250000,-1070.04638671875
1770995624.7150404,300000,-332.9773254394531
1770995816.729168,350000,90.88240814208984
1770995998.8529222,400000,295.5228271484375
1770996185.0757387,450000,376.2558898925781
1770996380.0018234,500000,407.9156494140625
1770996562.5181084,550000,423.85906982421875
1770996710.2104266,600000,427.92242431640625
1770996899.220947,650000,430.73248291015625
1770997086.1005163,700000,434.4088134765625
1770997281.1942053,750000,436.0657653808594
1770997481.445931,800000,437.1077575683594
1770997673.8470502,850000,437.4460144042969
1770997864.8591576,900000,437.8121337890625
1770998056.1242993,950000,563.122314453125
1770998233.926968,1000000,637.70849609375
1770998415.6025603,1050000,637.8812866210938
