Wall time,Step,Value
1771054144.502908,40000,2614.704345703125
1771054200.3081048,60000,2971.9140625
1771054258.4305894,80000,3045.52392578125
1771054288.481556,100000,3248.184326171875
1771054313.896924,120000,3376.70068359375
1771054339.194887,140000,3412.157470703125
1771054365.2515185,160000,3601.537353515625
1771054390.5035493,180000,3846.106689453125
1771054416.6444445,200000,3900.751953125
1771054442.3977623,220000,4187.1640625
1771054468.4115636,240000,4438.53125
1771054493.9542794,260000,4355.32373046875
1771054519.7171419,280000,4536.46630859375
1771054545.74764,300000,4599.21533203125
1771054571.592822,320000,4635.23486328125
1771054597.104064,340000,4699.40185546875
1771054623.3077667,360000,4773.88525390625
1771054648.1631374,380000,5029.26513671875
1771054674.3567052,400000,5205.88671875
1771054699.80812,420000,5100.27294921875
1771054725.519146,440000,4858.123046875
1771054751.0509021,460000,5238.234375
1771054776.9932983,480000,5070.34521484375
1771054802.4553802,500000,5310.9970703125
1771054828.723908,520000,5403.2294921875
1771054854.6519175,540000,5445.47509765625
1771054874.041698,560000,5344.95263671875
1771054893.4792113,580000,5544.04345703125
1771054915.3119793,600000,5504.97265625
1771054936.1041195,620000,5774.279296875
1771054957.48279,640000,5791.48876953125
1771054980.5111136,660000,5740.888671875
1771055003.696299,680000,5975.75439453125
1771055028.331803,700000,6138.28662109375
1771055049.688587,720000,5989.6533203125
1771055073.0922868,740000,6207.44677734375
1771055095.8536632,760000,6331.23876953125
1771055116.1837265,780000,6424.58251953125
1771055138.6073205,800000,6788.6103515625
1771055161.2122083,820000,7026.8671875
1771055184.5073564,840000,7028.6865234375
1771055205.8906689,860000,7028.26611328125
1771055228.375596,880000,7184.8447265625
1771055250.2074165,900000,7387.3798828125
1771055291.9230273,940000,7417.5478515625
1771055314.1590679,960000,7507.0986328125
1771055335.8266633,980000,7805.90087890625
1771055358.9147215,1000000,8079.62890625
1771055382.2973354,1020000,8207.8544921875
1771055403.3781786,1040000,8346.12890625
1771055424.7977364,1060000,8351.2802734375
1771055447.3468869,1080000,8038.91552734375
1771055469.264187,1100000,7789.54541015625
1771055491.87243,1120000,7504.2138671875
1771055514.5869803,1140000,7506.32177734375
1771055537.1665688,1160000,7840.05908203125
1771055558.318304,1180000,7867.458984375
1771055580.004189,1200000,8129.00244140625
1771055601.9821956,1220000,7900.77392578125
1771055624.2938423,1240000,7813.54541015625
1771055647.7095418,1260000,8084.76513671875
1771055672.5456889,1280000,7948.25439453125
1771055694.616409,1300000,8118.08056640625
1771055716.0952396,1320000,8290.861328125
1771055737.4272354,1340000,8269.939453125
1771055757.7518294,1360000,8571.365234375
1771055777.4059544,1380000,8683.3330078125
1771055799.2180068,1400000,8331.986328125
1771055821.2293043,1420000,8334.041015625
1771055846.2871969,1440000,8515.3955078125
1771055868.3079484,1460000,8421.3759765625
1771055889.8399494,1480000,8313.0029296875
1771055913.040676,1500000,8387.0400390625
1771055934.9015164,1520000,8547.4443359375
1771055955.5784237,1540000,8610.654296875
1771055978.6355467,1560000,8613.939453125
1771055999.29367,1580000,9037.1044921875
1771056020.9224489,1600000,9150.1689453125
1771056045.8079119,1620000,9492.7421875
1771056071.1491287,1640000,9464.8427734375
1771056095.9866688,1660000,9705.5263671875
1771056114.3426554,1680000,9888.91015625
1771056135.9142926,1700000,9723.861328125
1771056159.3803346,1720000,9556.0634765625
1771056183.5410175,1740000,9675.1708984375
1771056205.7036452,1760000,9530.5615234375
1771056226.9258335,1780000,9557.322265625
1771056249.6700568,1800000,9540.3310546875
1771056271.0663207,1820000,9813.7099609375
1771056312.862454,1860000,9556.7578125
1771056335.7755582,1880000,10115.4716796875
1771056359.6811574,1900000,10016.3544921875
1771056380.456999,1920000,10198.015625
1771056402.7256165,1940000,10395.3642578125
1771056424.8075058,1960000,10366.6611328125
1771056445.4883142,1980000,10340.3896484375
1771056463.7440934,2000000,10609.2861328125
1771056481.9611678,2020000,10998.3076171875
