Wall time,Step,Value
1771054085.1521683,20000,-1586.087646484375
1771054144.5049324,40000,-680.4173583984375
1771054200.3109221,60000,-2319.10546875
1771054258.4245522,80000,3359.853271484375
1771054288.483619,100000,-624.1885986328125
1771054313.8923752,120000,4950.537109375
1771054339.19791,140000,711.042724609375
1771054365.2453728,160000,6295.20947265625
1771054390.5056868,180000,1751.0860595703125
1771054416.6393535,200000,7701.53369140625
1771054442.4002733,220000,3117.975341796875
1771054468.4069855,240000,8864.6376953125
1771054493.9564066,260000,3827.2314453125
1771054519.711396,280000,9539.853515625
1771054545.7501514,300000,4573.7734375
1771054571.5863838,320000,10714.65625
1771054597.1066983,340000,5513.42529296875
1771054623.3032439,360000,11289.5361328125
1771054648.16565,380000,6518.65087890625
1771054674.349639,400000,12282.5361328125
1771054699.8112226,420000,6839.73388671875
1771054725.514532,440000,12488.4697265625
1771054751.0529156,460000,6865.50048828125
1771054776.9872525,480000,12695.1748046875
1771054802.4563878,500000,7539.80029296875
1771054828.7191355,520000,13230.7275390625
1771054854.6552527,540000,8027.5283203125
1771054874.0395882,560000,13787.87109375
1771054893.4817512,580000,8399.1884765625
1771054915.3086987,600000,14198.9990234375
1771054936.1074195,620000,8794.77734375
1771054957.4792247,640000,14764.5556640625
1771054980.513688,660000,9362.4892578125
1771055003.6905544,680000,15000.6484375
1771055028.334051,700000,9939.513671875
1771055049.6824982,720000,15523.2138671875
1771055073.0871193,740000,10177.9951171875
1771055095.8499227,760000,16115.5615234375
1771055116.1794167,780000,10890.765625
1771055138.6035774,800000,16673.884765625
1771055161.207414,820000,11894.505859375
1771055184.5023136,840000,17542.1015625
1771055205.886106,860000,12382.3623046875
1771055228.3718917,880000,18146.587890625
1771055250.2036693,900000,13109.51953125
1771055270.3299615,920000,18665.2734375
1771055291.9250891,940000,13325.8349609375
