Wall time,Step,Value
1770523855.0702205,50000,-560.34326171875
1770524313.441139,100000,-575.7943725585938
1770524775.0130193,150000,-564.0262451171875
1770525236.825887,200000,-553.4774780273438
1770525709.2571468,250000,-541.03173828125
1770526180.858913,300000,-510.8790283203125
1770526658.498663,350000,-507.2610168457031
1770527133.9976716,400000,-500.7157897949219
1770527615.2224667,450000,-487.25384521484375
1770528104.8596916,500000,-478.06134033203125
1770528656.1947205,550000,-564.2631225585938
1770529214.3546727,600000,-581.3313598632812
1770529756.608307,650000,-549.2887573242188
1770530331.068103,700000,-541.3253784179688
1770530909.9340398,750000,-518.9248046875
1770531489.66973,800000,-494.0916442871094
1770532083.3131986,850000,-473.3746337890625
1770532680.3193505,900000,-451.6585998535156
1770533286.8551254,950000,-426.504150390625
1770533897.683093,1000000,-409.92144775390625
1770534533.435603,1050000,-405.3429260253906
1770535181.1369665,1100000,-389.9048767089844
1770535814.4218783,1150000,-353.7952880859375
1770536414.7917905,1200000,-327.33697509765625
1770537030.572113,1250000,-323.5069274902344
1770537660.691712,1300000,-311.2420654296875
1770538306.3791256,1350000,-307.1226501464844
1770538968.455976,1400000,-299.4101257324219
1770539636.4746125,1450000,-294.74847412109375
1770540332.185688,1500000,-286.7339172363281
1770541064.5869012,1550000,-284.5374755859375
1770541794.928372,1600000,-278.27642822265625
1770542525.8289025,1650000,-276.5715637207031
1770543276.1034346,1700000,-275.33892822265625
1770544008.5973964,1750000,-272.3261413574219
1770544737.7826798,1800000,-272.1350402832031
1770545476.760926,1850000,-272.21142578125
1770546222.3831298,1900000,-271.2567138671875
